Book,Author ( s ),Original language,First published,Approximate sales
"Totto-chan , the Little Girl at the Window ( 窓ぎわのトットちゃん )",Tetsuko Kuroyanagi,Japanese,1981,18 million ( in Japan and China )
Matilda,Roald Dahl,United Kingdom,1988,17 million
The Book Thief,Markus Zusak,English,2005,16 million
The Horse Whisperer,Nicholas Evans,English,1995,16 million
Goodnight Moon,Margaret Wise Brown,English,1947,16 million
The Neverending Story ( Die unendliche Geschichte ),Michael Ende,German,1979,16 million
Fifty Shades of Grey,E. L. James,United Kingdom,2011,15.2 million in U.S
The Outsiders,S. E. Hinton,English,1967,15 million
Guess How Much I Love You,Sam McBratney,English,1994,15 million
Shōgun,James Clavell,English,1975,15 million
The Poky Little Puppy,Janette Sebring Lowrey,English,1942,15 million
The Pillars of the Earth,Ken Follett,English,1989,15 million
How to Win Friends and Influence People,Dale Carnegie,English,1936,15 million
Perfume ( Das Parfum ),Patrick Süskind,German,1985,15 million
The Grapes of Wrath,John Steinbeck,English,1939,15 million
The Shadow of the Wind ( La sombra del viento ),Carlos Ruiz Zafón,Spanish,2001,15 million
Interpreter of Maladies,Jhumpa Lahiri,English,2000,15 million
The Hitchhiker 's Guide to the Galaxy,Douglas Adams,English,1979,14 million
Tuesdays with Morrie,Mitch Albom,English,1997,14 million
God 's Little Acre,Erskine Caldwell,English,1933,14 million
