Year,Film,Studio,Guitars
1956,Love Me Tender,Fox,Fox prop guitar
1957,Loving You,Paramount,Gibson J-45 Gibson J-200
1957,Jailhouse Rock,MGM,Stella H929 Maton HG100
1958,King Creole,Paramount,Gibson J-45 Gibson J-200
1960,G.I . Blues,Paramount,Gibson J-45 Gibson J-200 Harmony H950
1960,Flaming Star,Fox,Fox prop guitar
1961,Wild in the Country,Fox,Parlor style steel string
1961,Blue Hawaii,Paramount,Gibson J-45 Soprano ukulele
1962,Follow That Dream,UA,Old Kraftsman
1962,Kid Galahad,UA,Old Kraftsman
1962,Girls ! Girls ! Girls !,Paramount,Martin 0-17 Harmony H165
1963,It Happened at the World 's Fair,MGM,Gibson LG-1
1963,Fun in Acapulco,Paramount,Harmony H950 Harmony H165 Classical guitar
1964,Viva Las Vegas,MGM,Gibson LG-1 Fender Stratocaster
1964,Kissin ' Cousins,MGM,No guitar used
1964,Roustabout,Paramount,Harmony H950
1965,Girl Happy,MGM,Gibson LG-1 Fender Telecaster Fender Precision Bass
1965,Tickle Me,Allied Artists,Gibson J-200 Classical guitar
1965,Harum Scarum,MGM,No guitar used
1966,Frankie and Johnny,UA,Harmony H929TG Stella Tenor
