Pos,No,Name,Team,Car,Time
1,12,Yvan Muller,SEAT Sport,SEAT León TDI,1:24.295
2,10,Rickard Rydell,SEAT Sport,SEAT León TDI,1:24.404
3,3,Augusto Farfus,BMW Team Germany,BMW 320si,1:24.482
4,11,Gabriele Tarquini,SEAT Sport,SEAT León TDI,1:24.527
5,6,Nicola Larini,Chevrolet RML,Chevrolet Lacetti,1:24.579
6,2,Jörg Müller,BMW Team Germany,BMW 320si,1:24.659
7,18,Tiago Monteiro,SEAT Sport,SEAT León TDI,1:24.730
8,7,Robert Huff,Chevrolet RML,Chevrolet Lacetti,1:24.738
9,9,Jordi Gené,SEAT Sport,SEAT León TDI,1:24.785
10,20,Tom Coronel,SUNRED Engineering,SEAT León TFSI,1:24.987
11,8,Alain Menu,Chevrolet RML,Chevrolet Lacetti,1:24.993
12,1,Andy Priaulx,BMW Team UK,BMW 320si,1:25.046
13,5,Félix Porteiro,BMW Team Italy-Spain,BMW 320si,1:25.166
14,4,Alessandro Zanardi,BMW Team Italy-Spain,BMW 320si,1:25.175
15,23,Pierre-Yves Corthals,Exagon Engineering,SEAT León TFSI,1:25.363
16,31,Sergio Hernández,Scuderia Proteam Motorsport,BMW 320si,1:25.721
17,26,Stefano D'Aste,Scuderia Proteam Motorsport,BMW 320si,1:25.806
18,16,Olivier Tielemans,Wiechers-Sport,BMW 320si,1:26.003
19,42,Franz Engstler,Liqui Moly Team Engstler,BMW 320si,1:26.437
20,43,Andrey Romanov,Liqui Moly Team Engstler,BMW 320si,1:27.813
