Event,Record,Athlete,Nationality,Date
100 m,10.81 ( +0.7 m/s ),Carmelita Jeter,United States,26 August 2012
200 m,22.15 ( +0.4 m/s ),Shaunae Miller-Uibo,Bahamas,18 August 2018
400 m,49.77,Sanya Richards,United States,21 August 2005
800 m,1:56.92,Francine Niyonsaba,Burundi,5 June 2016
1500 m,3:58.07,Kelly Holmes,Great Britain,29 June 1997
Mile,4:21.11,Konstanze Klosterhalfen,Germany,18 August 2019
3000 m,8:28.90,Sifan Hassan,Netherlands,20 August 2017
Two miles,9:11.49 DLR,Mercy Cherono,Kenya,24 August 2014
5000 m,14:51.77,Tirunesh Dibaba,Ethiopia,21 August 2005
100 m hurdles,12.46 ( -0.3 m/s ),Kendra Harrison,United States,5 June 2016
400 m hurdles,53.78,Kaliese Spencer,Jamaica,26 August 2012
3000 m steeplechase,9:05.55,Beatrice Chepkoech,Kenya,18 August 2019
High jump,2.03 m,Kajsa Bergqvist,Sweden,21 August 2005
Pole vault,4.87 m,Yelena Isinbayeva,Russia,27 June 2004
Long jump,6.96 m ( +1.5 m/s ),Malaika Mihambo,Germany,18 August 2018
Triple jump,14.94 m,Ashia Hansen,Great Britain,29 June 1997
Shot put,20.57 m,Nadzeya Astapchuk,Belarus,10 July 2010
Discus throw,69.23 m,Sandra Perkovic,Croatia,7 June 2015
Javelin throw,66.08 m,Barbora Špotáková,Czech Republic,26 August 2012
