Name,Location,Status
Rho Phi Sigma,"https : //en.m.wikipedia.org/wiki/Camden , _Arkansas",Active
Alpha Pi Sigma,"Omaha , NE",Active
Nu Tau Sigma,"Jonesboro , AR",Active
Gamma Psi Sigma,"Pine Bluff , AR",Active
Omicron Omicron Sigma,"Monticello , AR",Inactive
Delta Beta Sigma,"Oklahoma City , OK",Active
Epsilon Sigma Sigma,"Osceola , AR",Active
Eta Beta Sigma,"Nashville , TN",Active
Theta Chi Sigma,"Lawton , OK",Active
Kappa Sigma,"St. Louis , MO",Active
Kappa Nu Sigma,"Wichita , KS",Active
Kappa Tau Sigma,"Tulsa , OK",Active
Lambda Alpha Sigma,"Clarksville , TN",Active
Lambda Gamma Sigma,"Conway , AR",Active
Mu Beta Sigma,"Little Rock , AR",Active
Nu Theta Sigma,"Columbia , MO",Active
Nu Xi Sigma,"Magnolia , AR",Active
Tau Iota Sigma,"Memphis , TN",Active
