N,Pos,Name,Age,Since,Transfer fee
1,GK,Fernández,34,2007,Youth system
2,DF,Galliquio,40,2009,
3,DF,Galván,46,2007,$ 1.2m
4,DF,Villamarín,37,2009,
5,MF,Gonzales,33,2006,Youth system
6,MF,Rainer,40,2008,$ 1m
7,MF,Miguel Angel,38,2007,Youth system
8,MF,Quina,32,2008 ( Winter ),
9,FW,Perillo,34,2008 ( Winter ),Free
9,FW,Ruidíaz,,2009 ( Winter ),Free
10,MF,Bustamante,36,2009,
11,FW,Labarthe,35,2008,$ 0.6m
12,GK,Llontop,34,2006,Youth system
13,DF,Calderón,30,2007,Youth system
14,MF,Landauri,33,2008,$ 0.5m
15,MF,Vásquez,35,2008 ( Winter ),
16,DF,Revoredo,33,2009,
17,MF,Carmona,34,2008 ( Winter ),
18,FW,Calheira,35,2009,
19,FW,Orejuela,39,2009,
