Round,Pick,Player,Recruited from,Club
1,1,Luke Webster,East Perth,Fremantle
1,2,Josh Dicketts,Murray U18,St Kilda
1,3,Brent Tuckey,Collingwood,West Coast
1,4,John Baird,Box Hill Hawks,Kangaroos
1,5,Andrew Carrazzo,Oakleigh U18,Geelong
1,6,Mark Jamar,North Adelaide,Melbourne
1,7,Nick Greenwood,Gippsland U18,Western Bulldogs
1,8,James Podsiadly,Essendon ( VFL ),Collingwood
1,9,Paul Thomas,Central District,Adelaide
1,10,Scott McGlone,Bendigo U18,Sydney
1,11,Bret Thornton,Oakleigh U18,Carlton
1,12,Jordan Barham,Calder U18,Port Adelaide
1,13,Ben Kane,Eastern U18,Hawthorn
1,14,Kristian De Pasquale,Coburg Tigers,Richmond
1,15,Scott Howard,Calder U18,Essendon
1,16,Darren Bradshaw,Mount Gravatt,Brisbane Lions
2,17,Josh Head,South Fremantle,Fremantle
2,18,Ben Schwarze,Sandringham U18,St Kilda
2,19,Quinten Lynch,West Perth,West Coast
2,20,Stuart Cooper,Murray Kangaroos,Kangaroos
