Opponent,S,Occurrences,GP,Rec,%
St. Louis Blues,14,"1968 , 1970 , 1971 , 1972 , 1984 , 1985 , 1986 , 1989 , 1991 , 1994 , 1999 , 2001 , 2016 , 2019",80,6-8,.429
Edmonton Oilers,8,"1984 , 1991 , 1997 , 1998 , 1999 , 2000 , 2001 , 2003",42,6-2,.750
Chicago Blackhawks,6,"1982 , 1983 , 1984 , 1985 , 1990 , 1991",33,2-4,.333
Colorado Avalanche,4,"1999 , 2000 , 2004 , 2006",24,2-2,.500
Detroit Red Wings,4,"1992 , 1995 , 1998 , 2008",24,0-4,.000
San Jose Sharks,3,"1998 , 2000 , 2008",17,3-0,1.000
Buffalo Sabres,3,"1977 , 1981 , 1999",13,2-1,.667
Anaheim Ducks,3,"2003 , 2008 , 2014",18,1-2,.333
Toronto Maple Leafs,2,"1980 , 1983",7,2-0,1.000
Montreal Canadiens,2,"1971 , 1980",13,1-1,.500
Philadelphia Flyers,2,"1973 , 1980",11,0-2,.000
Vancouver Canucks,2,"1994 , 2007",12,0-2,.000
Boston Bruins,1,1981,3,1-0,1.000
Calgary Flames,1,1981,6,1-0,1.000
Los Angeles Kings,1,1968,7,1-0,1.000
Minnesota Wild,1,2016,6,1-0,1.000
Nashville Predators,1,2019,6,1-0,1.000
New Jersey Devils,1,2000,6,0-1,.000
New York Islanders,1,1981,5,0-1,.000
Pittsburgh Penguins,1,1991,6,0-1,.000
