Bank,HQ,Website,SWIFT Code
Addiko Bank,Zagreb,www.addiko.hr,HAAB HR 22
Banka Kovanica,Varaždin,www.kovanica.hr,SKOV HR 22
Croatia banka,Zagreb,www.croatiabanka.hr,CROA HR 2X
Erste & Steiermärkische Bank,Rijeka,www.erstebank.hr,ESBC HR 22
Hrvatska poštanska banka,Zagreb,www.hpb.hr,HPBZ HR 2X
Imex banka,Split,www.imexbanka.hr,IMXX HR 22
Istarska kreditna banka Umag,Umag,www.ikb.hr,ISKB HR 2X
Jadranska banka,Šibenik,www.jadranska-banka.hr,JADR HR 2X
Karlovačka banka,Karlovac,www.kaba.hr,KALC HR 2X
KentBank,Zagreb,www.kentbank.hr,KENB HR 22
Kreditna banka Zagreb,Zagreb,www.kbz.hr,KREZ HR 2X
OTP Bank ( as OTP Banka Hrvatska ),Split,www.otpbanka.hr,OTPV HR 2X
Partner banka,Zagreb,www.paba.hr,PAZG HR 2X
Podravska banka,Koprivnica,www.poba.hr,PDKC HR 2X
Primorska banka,Rijeka,www.primorska.hr,SPRM HR 22
Privredna banka Zagreb,Zagreb,www.pbz.hr,PBZG HR 2X
Raiffeisenbank Austria,Zagreb,www.rba.hr,RZBH HR 2X
Samoborska banka,Samobor,www.sabank.hr,SMBR HR 22
Sberbank,Zagreb,www.sberbank.hr,VBCR HR 22
Slatinska banka,Slatina,www.slatinska-banka.hr,SBSL HR 2X
