Network,Origin of programming,Language,Genre,Service
Adithya,India,Tamil,Comedy,Astro
Astro Vaanavil,Malaysia,Tamil,General,Astro
Astro Vellithirai,Malaysia,Tamil,Movies,Astro
Chutti TV,India,Tamil,Kids,Astro
Jaya Max,India,Tamil,Music,Hypp.TV
Jaya TV,India,Tamil,General,Astro
Kalaignar,India,Tamil,General,Astro
Makkal TV,India,Tamil,General,Astro
Polimer TV,India,Tamil,General,Hypp.TV
SET,India,Hindi,General,Hypp.TV
SET Max,India,Hindi,Movies/Cricket,Hypp.TV
Sony SAB,India,Hindi,Comedy,Hypp.TV
Sun Music,India,Tamil,Music,Astro
Sun TV,India,Tamil,General,Astro
UTV Movies,India,Hindi,Movies,Hypp.TV
Vijay,India,Tamil,General,Astro
Star Plus,India,Hindi,General,Astro
Star Gold,India,Hindi,Movies/Cricket,Astro
Star Bharat,India,Hindi,Drama,Astro
Tara HD,India,Hindi,General,Astro
