Park,Area,Opening date,Closing date,Previous area,Replaced by
Alton Towers,Nickelodeon : Outta Control,1997,1998,N/A,Frog Hopper
American Dream Meadowlands,Nickelodeon Universe,"October 25 , 2019",N/A,N/A,N/A
Blackpool Pleasure Beach,Nickelodeon Land,May 2011,N/A,Beaver Creek children 's park,N/A
California 's Great America,Nickelodeon Central,2000,2009,Hanna Barbera Land,Planet Snoopy
Canada 's Wonderland,Nickelodeon Central,2003,2009,Hanna Barbera Land,Planet Snoopy
Carowinds,Nickelodeon Central,22 March 2003,2009,Happy Land of Hanna Barbera,Planet Snoopy
Dreamworld,Nickelodeon Central,26 December 2002,24 June 2011,Kennyland,Kid 's World
Kings Dominion,Nickelodeon Central,2000,2009,Happy Land of Hanna Barbera,Planet Snoopy
Kings Island,Nickelodeon Universe,2001,2009,Happy Land of Hanna Barbera,Planet Snoopy
Mall of America,Nickelodeon Universe,15 March 2008,N/A,Camp Snoopy,N/A
Movie Park Germany,Nickland,2007,N/A,Unknown,N/A
Parque de Atracciones de Madrid,Nickelodeonland,April 2014,N/A,Infantil Zone,N/A
Sea World,Nickelodeon Land,December 2011,N/A,Beach Break Bay,N/A
Sega World Sydney,Nickelodeon TV Machine,April 1997,2000,N/A,N/A
Sunway Lagoon,Nickelodeon Lost Lagoon,"February 2 , 2016",N/A,N/A,N/A
Universal Studios Florida,Nickelodeon Studios,7 June 1990,30 April 2005,N/A,Blue Man Group Sharp Aquos Theatre
Universal Studios Hollywood,Nickelodeon Blast Zone,2001,2007,N/A,The Adventures of Curious George
WhiteWater World,Nickelodeon Pipeline Plunge,8 December 2006,24 June 2011,N/A,Pipeline Plunge
