Year,Winner,Position,School
1998,Brandy Fisher,Forward,New Hampshire
1999,A.J . Mleczko,Forward,Harvard
2000,Ali Brewer,Goaltender,Brown
2001,Jennifer Botterill,Forward,Harvard
2002,Brooke Whitney,Forward,Northeastern
2003,Jennifer Botterill,Forward,Harvard
2004,Angela Ruggiero,Defense,Harvard
2005,Krissy Wendell,Forward,Minnesota
2006,Sara Bauer,Forward,Wisconsin
2007,Julie Chu,Forward,Harvard
2008,Sarah Vaillancourt,Forward,Harvard
2009,Jessie Vetter,Goaltender,Wisconsin
2010,Vicki Bendus,Forward,Mercyhurst
2011,Meghan Duggan,Forward,Wisconsin
2012,Brianna Decker,Forward,Wisconsin
2013,Amanda Kessel,Forward,Minnesota
2014,Jamie Lee Rattray,Forward,Clarkson
2015,Alex Carpenter,Forward,Boston College
2016,Kendall Coyne,Forward,Northeastern
2017,Ann-Renée Desbiens,Goaltender,Wisconsin
