Name,Location,Country,Diameter ( km ),Age ( million years )
Mistassini-Otish impact crater,Quebec,Canada,600,2100
Australian impact structure,Northern Territory,Australia,600,545
Shiva crater,offshore of India,India,500,65
Wilkes Land crater,Wilkes Land,Antarctica,480-500,250-500
Nastapoka arc,Nunavut / Quebec,Canada,450,unknown
Czech Crater,Central Europe,Czech Republic,300-500,2000
Ishim impact structure,Akmola Region,Kazakhstan,300,460-430
Bedout,offshore of Western Australia,Australia,250,250
Falkland ( Malvinas ) Plateau anomaly,offshore of South America,Falkland Islands,250,"250 ( uncertain , estimated to be Late Palaeozoic )"
East Warburton Basin,Southern Australia,Australia,200+,300-360
