Site,Municipality,Ref
Kabutoyama Kofun 兜山古墳 Kabutoyama kofun,Mihara,[ 28 ]
Yano Castle Site 矢野城 跡 Yano-jō ato,Hiroshima,[ 29 ]
Himetani Ware Kiln Site 姫谷焼 窯跡 Himetani-yaki kama ato,Fukuyama,[ 30 ]
Isonomiya 磯宮 Isonomiya,Takehara,[ 31 ]
Rai Kyōhei Office 頼杏坪 役宅 Rai Kyōhei yakutaku,Miyoshi,[ 32 ]
Miyoshi Shazō 三次社倉 Miyoshi Shazō,Miyoshi,[ 33 ]
Kōtokuji Kofun 康徳寺古墳 Kōtokuji kofun,Sera,[ 34 ]
Kumano Ancient Pottery Kiln Site 熊野の古代土器窯跡 Kumano no kodai doki kama ato,Fukuyama,[ 35 ]
Manpuku-ji Site 万福寺跡 Manpukuji ato,Sera,[ 36 ]
Sennose Joseon Mission Resthouse Site 三ノ瀬 朝鮮信使宿館跡 Sannose Chōsen shinshi shukukan ato,Kure,[ 37 ]
Kamagari Guardhouse Site 蒲刈島 御 番所 跡 Kamagari-jima go-bansho ato,Kure,[ 38 ]
Sannose Honjin Site 三ノ瀬 御本陣跡 Sannose go-honjin ato,Kure,[ 39 ]
Tomo Seven Exiled Nobles Site 鞆七卿落遺跡 Tomo shichi kyō-ochi iseki,Fukuyama,[ 40 ]
Mitarai Seven Exiled Nobles Site 御手洗 七卿落 遺跡 Mitarai shichi kyō-ochi iseki,Kure,[ 41 ]
Waka-Ebisuya Site 若胡子屋跡 Waka-Ebisu-ya ato,Kure,[ 42 ]
Hiraga Gennai Seishi 平賀源内 生祠 Hiraga Gennai seishi,Fukuyama,[ 43 ]
Kan Chazan Grave 菅茶山 之墓 Kan Chazan no haka,Fukuyama,[ 44 ]
Rai Family Grave 頼家之墓 Rai-ke no haka,Hiroshima,[ 45 ]
Shōmoku-ji Site 青目寺 跡 Shōmokuji ato,Fuchū,[ 46 ]
Government Cotton Spinning Factory Site 官立綿糸紡績工場跡 kanritsu menshi bōseki kōjō ato,Hiroshima,[ 47 ]
