#,Artist,Album,Country of Origin,Tracks in the Hottest 100
1,Kings of Leon,Only by the Night,United States,"1 , 3 , 24 , 70"
2,The Presets,Apocalypso,Australia,"6 , 8 , 56 ( 18 in 2007 )"
3,MGMT,Oracular Spectacular,United States,"2 , 5 , 18"
4,Vampire Weekend,Vampire Weekend,United States,"30 , 32 , 58 , 71"
5,Birds of Tokyo,Universes,Australia,"20 , 22 , 51"
6,Cut Copy,In Ghost Colours,Australia,15 ( 39 in 2007 )
7,Bloc Party,Intimacy,United Kingdom,"DNC ( 110 , 112 , 127 in Hottest 200 - 101 )"
8,The Grates,"Teeth Lost , Hearts Won",Australia,"34 , 80 , 83"
9,Empire of the Sun,Walking on a Dream,Australia,"4 , 68"
10,Josh Pyke,Chimney 's Afire,Australia,"27 , 29"
