Year,Player,Team,League
1999,Hideki Matsui,Yomiuri Giants,Central
2000,Atsushi Kataoka,Nippon-Ham Fighters,Pacific
2001,Norihiro Nakamura,Osaka Kintetsu Buffaloes,Pacific
2002,Tetsuya Iida,Yakult Swallows,Central
2003,Kazuki Inoue,Chunichi Dragons,Central
2004,Norihiro Akahoshi,Hanshin Tigers,Central
2005,Bobby Valentine,Chiba Lotte Marines,Pacific
2006,Tsuyoshi Wada,Fukuoka SoftBank Hawks,Pacific
2007,Daisuke Miura,Yokohama BayStars,Central
2008,Hisashi Iwakuma,Tohoku Rakuten Golden Eagles,Pacific
2009,Michihiro Ogasawara,Yomiuri Giants,Central
2010,Yu Darvish,Hokkaido Nippon-Ham Fighters,Pacific
2011,Takeshi Yamasaki,Tohoku Rakuten Golden Eagles,Pacific
2012,Kyuji Fujikawa,Hanshin Tigers,Central
2013,Shinya Miyamoto,Tokyo Yakult Swallows,Central
2014,Takumi Kuriyama,Saitama Seibu Lions,Pacific
2015,Toshiaki Imae,Chiba Lotte Marines,Pacific
2016,Tetsuya Utsumi,Yomiuri Giants,Central
