Interim Administration Position,Name,Notes
Chairman,Hamid Karzai,Independent Pashtun tribal leader in exile in Pakistan
Vice-Chair and Defense Minister,Mohammed Fahim,Defense Minister of the United Islamic Front
Vice-Chair and Women 's Affairs,Sima Samar,"Founder of the Shuhada Organization and Shuhada Clinic in Quetta , Rome Group"
Vice-Chair and Planning Minister,Mohammed Mohaqqeq,Warlord fighting against the Taliban for the People 's Islamic Unity Party of Afghanistan in the United Islamic Front
Vice-Chair and Water and Energy Minister,Ahmed Shakar Karkar,United Islamic Front
Vice-Chair and Finance Minister,Hedayat Amin Arsala,Foreign Minister of the Islamic State of Afghanistan in the 90s . Rome group
Foreign Minister,Abdullah Abdullah,Foreign Minister of the United Islamic Front
Interior Minister,Yunus Qanuni,Interior Minister of the United Islamic Front
Communications Minister,Abdul Rahim,United Islamic Front
Borders Minister,Amanullah Zadran,"Taliban leader , who defected after the American invasion , Rome Group"
Refugees Minister,Intayatullah Nazeri,United Islamic Front
Small Industries Minister,Aref Noozari,United Islamic Front
Mines and Industry Minister,Mohammed Alim Razm,United Islamic Front
Health Minister,Sohaila Siddiqi,Has been in the governments of king Mohammed Zahir Shah and the communist regime of the 1970s and 1980s . Independent
Commerce Minister,Sayed Mustafa Kasemi,Spokesmen and leader of United National Front
Agriculture Minister,Sayed Hussain Anwari,Chief military commander of the Harakat-e Islami in the United National Front
Justice Minister,Abbas Karimi,United Islamic Front
Information and Culture Minister,Saeed Makhdoom Rahim,"Poet and writer , Rome group"
Reconstruction Minister,Mohammed Fahim Farhang,Rome Group
Haj and Mosques Minister,Mohammad Hanif Balkhi,Independent
