Season,Location,Winner,Runner-up,Result,Format
1999-00,New York City,Black Ops Antoine Ruel * Olivier Ruel * Florent Jeudon,Antarctica Jon Finkel * Steven O'Mahoney-Schwartz * Daniel O'Mahoney-Schwartz,2-1,Team Rochester Draft
2000-01,New York City,William Jensen *,Jason Zilla,2-1,Extended
2000-01,Chicago,Ben Rubin *,Jon Finkel *,2-0,Booster Draft
2000-01,Tokyo,AlphaBetaUnlimited.com Chris Benafel Noah Boeken Ryan Fuller,Panzer Hunter Reiji Ando Itaru Ishida Momose Kazuyuki,2-1,Team Rochester Draft
2000-01,Barcelona,Ben Rubin *,Jay Elarar,2-0,Block Constructed
2001-02,New Orleans,Michael Pustilnik,Chris Benafel,2-0,Booster Draft
2001-02,San Diego,Ryan Fuller,Dave Humpherys *,2-0,Standard
2001-02,Osaka,Phoenix Foundation Dirk Baberowski * Marco Blume Kai Budde *,Panzer Hunter Reiji Ando Itaru Ishida Momose Kazuyuki,2-1,Team Rochester Draft
2001-02,Nice,Alexander Witt,Justin Gary,2-1,Extended
2002-03,Houston,Jens Thorén,Gary Wise *,2-0,Booster Draft
2002-03,Chicago,Franck Canu,Ken Ho,2-0,Standard
2002-03,Venice,PS2 Masahiro Kuroda Katsuhiro Mori Masahiko Morita,2020 Elijah Pollock David Rood Steven Wolfman,2-1,Team Rochester Draft
2002-03,Yokohama,Bob Maher *,Gabriel Nassif *,2-0,Extended
