Golfer,Country,Wins,Halves,Losses
Paula Creamer,United States,3,0,0
Sophie Gustafson,Sweden,3,0,0
Suzann Pettersen,Norway,3,0,0
Erica Blasberg,United States,2,1,0
Annika Sörenstam,Sweden,2,1,0
Karen Stupples,England,2,1,0
Marisa Baena,Colombia,2,0,1
Natalie Gulbis,United States,2,0,1
Hee-Won Han,South Korea,2,0,1
Carin Koch,Sweden,2,0,1
Candie Kung,Taiwan,2,0,1
Jennifer Rosales,Philippines,1,1,1
Riko Higashio,Japan,1,0,2
Jeong Jang,South Korea,1,0,2
Catriona Matthew,Scotland,1,0,2
Grace Park,South Korea,1,0,2
Aree Song,South Korea,1,0,2
Naree Song,South Korea,1,0,2
Meena Lee,South Korea,0,1,2
Jill McGill,United States,0,1,2
