Call letters,Channel,Network ( s ),City and state,Meaning or notes
KCAL-TV,9 PSIP 9,independent,"Los Angeles , California",CAL ifornia
KCAU-TV,9 PSIP 9,ABC,"Sioux City , Iowa",C ares A bout U
KCBA,13 PSIP 35,Fox,"Salinas , California",CBA backwards of the first three letters of the English alphabet
KCBD,11 PSIP 11,11.1 NBC 11.2 This TV,"Lubbock , Texas",C aprock B roa D casting Company
KCBS-TV,31 PSIP/cable 2,CBS,"Los Angeles , California",C olumbia B roadcasting S ystem
KCBY-TV,11 PSIP 11,CBS,"Coos Bay , Oregon","C oos B a Y ; semisatellite of KVAL , Eugene , Oregon"
KCCI,8 PSIP 8,8.1 CBS 8.2 MeTV,"Des Moines , Iowa","C owles C ommunications , I nc . ( former owner ) or C apital C ity of I owa"
KCCW-TV,12 PSIP 12,CBS,"Walker , Minnesota",Affiliated with WCC O
KCDO-TV,23 PSIP/cable 3,Independent,"Sterling , Colorado",C olora DO
KCDT,45 PSIP 26,PBS,"Coeur d'Alene , Idaho",C oeur D ' 'Alene T elevision
KCEB,51 PSIP 54,MeTV,"Longview , Texas",
KCEC,15 PSIP 14,Univision,"Boulder , Colorado",C olorado E ntravision C ommunications
KCEN-TV,9 PSIP 6,6.1 NBC 9.3 MeTV,"Temple , Texas",CEN tral Texas
KCET,28 PSIP 28,Educational Independent ( then a PBS member station ),"Los Angeles , California",C alifornia E ducational T elevision
KCFW-TV,9 PSIP 9,9.1 NBC 9.2 MeTV,"Kalispell , Montana",K alispell C olumbia F alls W hitefish . Semi-satellite of KECI Missoula
KCGE-DT,16 PSIP 16,PBS,"Crookston , Minnesota",C rookston- G rand Forks E ducational
KCHF,10 PSIP 11,Religious,"Santa Fe , New Mexico",
KCIT,15 PSIP 14,14.1 Fox 15.2 This TV,"Amarillo , Texas",Call signs are pronounced C ( see ) IT
KCKA,19 PSIP 15,PBS,"Centralia , Washington",Rebroadcasts KBTC Tacoma
KCLO-TV,16 PSIP 15,CBS,"Rapid City , South Dakota",Repeats K E LO
