Wind farm,Capacity ( MW ),Location,Site coordinates,Turbines & model,Commissioning date
Walney Extension,659,United Kingdom,54°5′17″N 3°44′17″W / 54.08806°N 3.73806°W / 54.08806 ; -3.73806 ( Walney Extension ),40 x MHI - Vestas 8.25 MW 47 x Siemens Gamesa 7 MW,2018
London Array,630,United Kingdom,51°38′38″N 01°33′13″E / 51.64389°N 1.55361°E / 51.64389 ; 1.55361 ( London Array ),175 × Siemens SWT-3.6-120,2012
Gemini Wind Farm,600,Netherlands,54°2′10″N 05°57′47″W / 54.03611°N 5.96306°W / 54.03611 ; -5.96306 ( Gemini Wind Farm ),150 × Siemens SWT-4.0,2017
Beatrice,588,United Kingdom,58°07′48″N 03°04′12″W / 58.13000°N 3.07000°W / 58.13000 ; -3.07000 ( Beatrice Offshore Windfarm Ltd ( BOWL ) project ),84 × 7MW Siemens Gamesa,2019
Gode Wind ( phases 1+2 ),582,Germany,54°04′N 7°02′E / 54.067°N 7.033°E / 54.067 ; 7.033 ( Gode Wind I+II ),97 x Siemens SWT-6.0-154,2017
Gwynt y Môr,576,United Kingdom,53°27′00″N 03°35′00″W / 53.45000°N 3.58333°W / 53.45000 ; -3.58333 ( Gwynt y Môr ),160 × Siemens SWT-3.6-107,2015
Race Bank,573,United Kingdom,53°16′N 0°50′E / 53.267°N 0.833°E / 53.267 ; 0.833 ( Race Bank ),91 x Siemens SWT-6.0-154,2018
Greater Gabbard,504,United Kingdom,51°52′48″N 1°56′24″E / 51.88000°N 1.94000°E / 51.88000 ; 1.94000 ( Greater Gabbard wind farm ),140 × Siemens SWT-3.6-107,2012
Dudgeon,402,United Kingdom,53°14′56″N 1°23′24″E / 53.24889°N 1.39000°E / 53.24889 ; 1.39000 ( Dudgeon Offshore Wind Farm ),67 × Siemens 6 MW,2017
Veja Mate,402,Germany,54°19′1″N 5°52′15″E / 54.31694°N 5.87083°E / 54.31694 ; 5.87083 ( Veja Mate Wind Farm ),67 × Siemens SWT-6.0-154,2017
Anholt,400,Denmark,56°36′00″N 11°12′36″E / 56.60000°N 11.21000°E / 56.60000 ; 11.21000 ( Anholt Offshore Wind Farm ),111 × Siemens SWT-3.6-120,2013
BARD Offshore 1,400,Germany,54°22′0″N 5°59′0″E / 54.36667°N 5.98333°E / 54.36667 ; 5.98333 ( BARD Offshore 1 ),80 × BARD 5.0MW,2013
Global Tech I [ de ],400,Germany,54°30′00″N 6°21′30″E / 54.50000°N 6.35833°E / 54.50000 ; 6.35833 ( Global Tech I ),80 × Areva Multibrid M5000 5.0MW,2015
West of Duddon Sands,389,United Kingdom,53°59′02″N 3°27′50″W / 53.98389°N 3.46389°W / 53.98389 ; -3.46389 ( West of Duddon Sands ),108 × Siemens SWT-3.6-120,2014
Walney ( phases 1 & 2 ),367,United Kingdom,54°02′38″N 3°31′19″W / 54.04389°N 3.52194°W / 54.04389 ; -3.52194 ( Walney Wind Farm ),102 × Siemens SWT-3.6-107,2011 ( phase 1 ) 2012 ( phase 2 )
Wikinger,350,Germany,54°50′2″N 14°4′5″E / 54.83389°N 14.06806°E / 54.83389 ; 14.06806 ( Wikinger Wind Farm ),70 x Adwen AD 5-135,2018
Nordsee One,332,Germany,53°58′0″N 06°48′00″E / 53.96667°N 6.80000°E / 53.96667 ; 6.80000 ( Nordsee One Wind Farm ),54 × Senvion 6.2M126,2017
Thorntonbank ( phases 1-3 ),325,Belgium,51°33′00″N 2°56′00″E / 51.55000°N 2.93333°E / 51.55000 ; 2.93333 ( Thorntonbank phases 1 & 2 & 3 ),6 × Senvion 5MW 48 × Senvion 6.15MW,2009 ( phase 1 ) 2012 ( phase 2 ) 2013 ( phase 3 )
Sheringham Shoal,315,United Kingdom,53°7′0″N 1°8′0″E / 53.11667°N 1.13333°E / 53.11667 ; 1.13333 ( Sheringham Shoal Offshore Wind Farm ),88 × Siemens SWT-3.6-107,2012
Borkum Riffgrund 1 [ de ],312,Germany,53°58′0″N 06°33′00″E / 53.96667°N 6.55000°E / 53.96667 ; 6.55000 ( Borkum Riffgrund 1 Wind Farm ),78 × Siemens SWT-4.0-120,2015
