Year,Horse,Age,Trainer,Owner
2018,Unique Bella,4,Jerry Hollendorfer,Don Alberto Stable
2017,Forever Unbridled,5,Dallas Stewart,Charles E. Fipke
2016,Beholder,6,Richard Mandella,Spendthrift Farm
2015,Beholder,5,Richard Mandella,Spendthrift Farm
2014,Close Hatches,4,William I. Mott,Juddmonte Farms
2013,Royal Delta,5,William I. Mott,Besilu Stables
2012,Royal Delta,4,William I. Mott,Besilu Stables
2011,Havre de Grace,4,J. Larry Jones,Rick Porter/Fox Hill Farms
2010,Zenyatta,6,John Shirreffs,Ann & Jerry Moss
2009,Zenyatta,5,John Shirreffs,Ann & Jerry Moss
2008,Zenyatta,4,John Shirreffs,Ann & Jerry Moss
2007,Ginger Punch,4,Robert J. Frankel,Stronach Stables
2006,Fleet Indian,5,Todd A. Pletcher,Paul H. Saylor
2005,Ashado,4,Todd A. Pletcher,Jonabell Farm
2004,Azeri,6,D. Wayne Lukas,Allen E. Paulson Living Trust
2003,Azeri,5,Laura de Seroux,Allen E. Paulson Living Trust
2002,Azeri,4,Laura de Seroux,Allen E. Paulson Living Trust
2001,Gourmet Girl,6,Pico Perdomo,Gary A. Tanaka
2000,Riboletta,5,Eduardo Inda,Aaron & Marie Jones
1999,Beautiful Pleasure,4,"John T. Ward , Jr",John C. Oxley
