Title,Publisher,Release Date,CERO
F-Zero for Game Boy Advance,Nintendo,"December 16 , 2011",A
Fire Emblem : Seima no Kōseki,Nintendo,"December 16 , 2011",A
Hoshi no Kirby : Kagami no Daimeikyū,Nintendo,"December 16 , 2011",A
Made in Wario,Nintendo,"December 16 , 2011",A
Mario Kart Advance,Nintendo,"December 16 , 2011",A
Mario vs. Donkey Kong,Nintendo,"December 16 , 2011",A
Metroid Fusion,Nintendo,"December 16 , 2011",A
Super Mario Advance 3 : Yoshi Island + Mario Brothers,Nintendo,"December 16 , 2011",A
Wario Land Advance : Yōki no Otakara,Nintendo,"December 16 , 2011",A
Zelda no Densetsu : Fushigi no Bōshi,Nintendo,"December 16 , 2011",A
