Team,Titles,Years,Runners-up,Years runners-up
Leinster,6,"2001-02 , 2007-08 , 2012-13 , 2013-14 , 2017-18 , 2018-19",5,"2005-06 , 2009-10 , 2010-11 , 2011-12 , 2015-16"
Ospreys,4,"2004-05 , 2006-07 , 2009-10 , 2011-12",0,
Munster,3,"2002-03 , 2008-09 , 2010-11",4,"2001-02 , 2004-05 , 2014-15 , 2016-17"
Scarlets,2,"2003-04 , 2016-17",1,2017-18
Ulster,1,2005-06,2,"2003-04 , 2012-13"
Glasgow Warriors,1,2014-15,2,"2013-14 , 2018-19"
Connacht,1,2015-16,0,
Cardiff Blues,0,,2,"2006-07 , 2007-08"
Edinburgh,0,,1,2008-09
Neath,0,,1,2002-03
