Elector,Cardinalatial title,Elevated,Appointed by,Notes
"Pierre de Tarentaise , O.P",Bishop of Ostia e Velletri,"June 3 , 1273",Gregory X,Elected Pope Innocent V
João Pedro Julião,Bishop of Frascati,"June 3 , 1273",Gregory X,Future Pope John XXI
Vicedominus de Vicedominis,Bishop of Palestrina,"June 3 , 1273",Gregory X,Nephew of Pope Gregory X
"Bertrand de Saint-Martin , O.S.B",Bishop of Sabina,"June 3 , 1273",Gregory X,
Simone Paltanieri,Priest of SS . Silvestro e Martino,"December 17 , 1261",Urban IV,
Ancher Pantaleon,Priest of S. Prassede,May 1262,Urban IV,
Guillaume de Bray,Priest of S. Marco,May 1262,Urban IV,
Riccardo Annibaldi,Deacon of S. Angelo in Pescheria,1238,Gregory IX,nephew of Pope Innocent III
Ottobono Fieschi,Deacon of S. Adriano,"December , 1251",Innocent IV,future Pope Adrian V
Uberto Coconati,Deacon of S. Eustachio,"December 17 , 1261",Urban IV,
Giacomo Savelli,Deacon of S. Maria in Cosmedin,"December 17 , 1261",Urban IV,Future Pope Honorius IV
Goffredo da Alatri,Deacon of S. Giorgio in Velabro,"December 17 , 1261",Urban IV,
Matteo Rosso Orsini,Deacon of S. Maria in Portico,May 1262,Urban IV,Nephew of Pope Nicholas III
