Network,NBA,MLB,NHL,Other
Fox Sports Arizona,Phoenix Suns,Arizona Diamondbacks,Arizona Coyotes,Phoenix Mercury ( WNBA )
Fox Sports Carolinas / Fox Sports Southeast,Charlotte Hornets,-,Carolina Hurricanes,-
Fox Sports Detroit,Detroit Pistons,Detroit Tigers,Detroit Red Wings,-
Fox Sports Florida,Orlando Magic,Miami Marlins,Florida Panthers,-
Fox Sports Indiana,Indiana Pacers,-,-,Indiana Fever ( WNBA )
Fox Sports Kansas City,-,Kansas City Royals,-,Sporting Kansas City ( MLS )
Fox Sports Midwest,-,St. Louis Cardinals,St. Louis Blues,-
Fox Sports New Orleans,New Orleans Pelicans,-,-,-
Fox Sports North,Minnesota Timberwolves,Minnesota Twins,Minnesota Wild,Minnesota Lynx ( WNBA ) Minnesota United FC ( MLS )
Fox Sports Ohio,Cleveland Cavaliers,Cincinnati Reds,Columbus Blue Jackets,Columbus Crew SC ( MLS )
Fox Sports Oklahoma,Oklahoma City Thunder,-,-,-
Fox Sports San Diego,-,San Diego Padres,-,-
Fox Sports South / Fox Sports Southeast,Atlanta Hawks,Atlanta Braves,-,Atlanta Dream ( WNBA ) Atlanta United FC ( MLS )
Fox Sports Southwest,Dallas Mavericks San Antonio Spurs,Texas Rangers,Dallas Stars,-
Fox Sports Sun,Miami Heat,Tampa Bay Rays,Tampa Bay Lightning,-
Fox Sports Tennessee / Fox Sports Southeast,Memphis Grizzlies,-,Nashville Predators,-
Fox Sports West / Prime Ticket,Los Angeles Clippers,Los Angeles Angels,Los Angeles Kings Anaheim Ducks,-
Fox Sports Wisconsin,Milwaukee Bucks,Milwaukee Brewers,Minnesota Wild,Minnesota United FC ( MLS )
SportsTime Ohio,-,Cleveland Indians,-,-
YES Network,Brooklyn Nets,New York Yankees,-,New York City FC ( MLS )
