Medal,Name,Sport,Event,Date
Gold,Eugène Grisot,Archery,Men 's Continental style,July 20
Gold,"André Auffray , Maurice Schilles",Cycling,Men 's tandem,July 15
Gold,Gaston Alibert,Fencing,Men 's épée,July 24
Gold,"Gaston Alibert , Herman Georges Berger , Charles Collignon , Eugène Olivier",Fencing,Men 's team épée,July 24
Gold,Emile Thubron,Water motorsports,Class A,August 29
Silver,Louis Vernet,Archery,Men 's Continental style,July 20
Silver,Géo André,Athletics,Men 's high jump,July 21
Silver,Émile Demangel,Cycling,Men 's 660 yd,July 15
Silver,Maurice Schilles,Cycling,Men 's 5000 m,July 18
Silver,Alexandre Lippmann,Fencing,Men 's épée,July 24
Bronze,Gustave Cabaret,Archery,Men 's Continental style,July 20
Bronze,"Joseph Dreher , Louis Bonniot de Fleurac , Paul Lizandier",Athletics,Men 's 3 miles team race,July 15
Bronze,André Auffray,Cycling,Men 's 5000 m,July 18
Bronze,Octave Lapize,Cycling,Men 's 100 km,July 18
Bronze,Eugène Olivier,Fencing,Men 's épée,July 24
Bronze,Louis Ségura,Gymnastics,Men 's all-around,July 15
Bronze,"Henri Arthus , Louis Potheau , Pierre Rabot",Sailing,6 m class,July 29
Bronze,"Henri Bonnefoy , Paul Colas , Léon Lécuyer , André Regaud",Shooting,Men 's team small-bore rifle,July 11
Bronze,"Eugène Balme , Albert Courquin , Raoul de Boigne , Léon Johnson , Maurice Lecoq , André Parmentier",Shooting,"Men 's 300 m free rifle , team",July 10
