Team,City,Stadium,Capacity,Field
Alianza Atlético,Sullana,Campeones del 36,"8,000",Grass
Alianza Lima,Lima,Alejandro Villanueva,"35,000",Grass
Cienciano,Cuzco,Garcilaso,"42,056",Grass
Deportivo Municipal,Lima,Nacional,"45,750",Grass
Deprotivo Pesquero,Chimbote,Manuel Rivera Sanchez,"25,000",Grass
Juan Aurich,Chiclayo,Elías Aguirre,"24,500",Grass
Lawn Tennis,Lima,Nacional,"45,750",Grass
Melgar,Arequipa,Mariano Melgar,"20,000",Grass
Sport Boys,Callao,Miguel Grau,"18,000",Grass
Sporting Cristal,Lima,San Martín de Porres,"17,000",Grass
Unión Minas,Cerro de Pasco,Daniel Alcides Carrión,"8,000",Grass
Universitario,Lima,Nacional,"45,750",Grass
