Battalion Name,Location ( s ),Notable Commanding Officers
1st Defense Battalion,"Pearl Harbor , Hawaii Wake Island Johnston Island Palmyra Island Marshall Islands Mariana Islands Guam",Bertram A . Bone Augustus W. Cockrell John H. Griebel Lewis A. Hohn
2nd Defense Battalion,Hawaii American Samoa Tarawa Guam Okinawa,Bertram A . Bone Thomas E. Bourke Charles I. Murray Raymond E. Knapp
3rd Defense Battalion,"Pearl Harbor , Hawaii Midway Island Guadalcanal Tulagi Bougainville",Robert H. Pepper Harry K. Pickett Harold C. Roberts Kenneth W. Benner Edward H. Forney
4th Defense Battalion,"Guantanamo Bay , Cuba Pearl Harbor , Hawaii Midway Island New Hebrides Islands New Zealand Guadalcanal Vella Lavella Peleliu Okinawa",George F. Good Jr. William H. Rupertus Harold S. Fassett
5th Defense Battalion,Iceland New Caledonia Tulagi Ellice Islands Hawaii Okinawa,Lloyd L. Leech George F. Good Jr
6th Defense Battalion,Hawaii Midway Island,Charles I. Murray Raphael Griffin Harold D. Shannon Lewis A. Hohn
7th Defense Battalion,American Samoa Upolu Ellice Islands Peleliu Hawaii,Lester A. Dessez Henry R. Paige
8th Defense Battalion,American Samoa Wallis Islands Gilbert Islands Hawaii Okinawa,Clyde H. Hartsel Lloyd L. Leech
9th Defense Battalion,"Guantanamo Bay , Cuba Guadalcanal New Georgia Arundel Island Guam",David R. Nimmer William J. Scheyer Archie E. O'Neil
10th Defense Battalion,Russell Islands New Georgia Arundel Island Marshall Islands,Robert Blake Wallace O. Thompson
11th Defense Battalion,New Hebrides Guadalcanal Russell Islands New Georgia Arundel Island Guadalcanal,Charles N. Muldrow
12th Defense Battalion,Woodlark Island New Britain Russell Islands Peleliu,William H. Harrison Merlyn D. Holmes
13th Defense Battalion,"Guantanamo Bay , Cuba Hawaii",Richard M. Cutts Jr
14th Defense Battalion,Tulagi St. Matthias Islands Guadalcanal Guam,Jesse L. Perkins Galen M. Sturgis
15th Defense Battalion,Marshall Islands Mariana Islands,Francis B. Loomis Jr. Peter J. Negri
16th Defense Battalion,Johnston Island Hawaii Tinian Okinawa,Richard P. Ross Jr. Galen M. Sturgis
17th Defense Battalion,Saipan Tinian,Thomas G. McFarland
18th Defense Battalion,Saipan Tinian,Harold C. Roberts William J . Van Ryzin
51st Defense Battalion,Ellice Islands,William B. Onley Floyd A. Stephenson
52nd Defense Battalion,Mariana Islands Guam,Augustus W. Cockrell Joseph W. Earnshaw
