Model designation,Build year,Total produced,AAR wheel arrangement,Prime mover,Power output
GP7,1949-1954,"2,729 A units 5 B units",B-B,EMD 16-567B,"1,500 hp ( 1.1 MW )"
GP9,1954-1963,"4,112 A units 165 B units",B-B,EMD 16-567C,"1,750 hp ( 1.3 MW )"
GP15-1,1976-1982,310,B-B,EMD 12-645E,"1,500 hp ( 1,119 kW )"
GP15AC,1982,34,B-B,EMD 12-645E,"1,500 hp ( 1,119 kW )"
GP15T,1982-1983,28,B-B,EMD 8-645E3,"1,500 hp ( 1.1 MW )"
GP18,1959-1963,405,B-B,EMD 16-567D1,"1,800 hp ( 1.3 MW )"
GP20,1959-1962,260,B-B,EMD 16-567D2,"2,000 hp ( 1.5 MW )"
GP28,1964-1965,31,B-B,EMD 16-567D1,"1,800 hp ( 1.3 MW )"
GP30,1961-1963,908 A units 40 B units,B-B,EMD 16-567D3,"2,250 hp ( 1.6 MW )"
GP35,1963-1966,"1,334",B-B,EMD 16-567D3A,"2,500 hp ( 1.9 MW )"
GP38,1966-1971,706,B-B,EMD 16-645E,"2,000 hp ( 1.5 MW )"
GP38AC,1970-1971,261,B-B,EMD 16-645E,
GP38-2,1972-1986,"2,162",B-B,EMD 16-645E,"2,000 hp ( 1.5 MW )"
GP38-2L,,,B-B,EMD 16-645E,"2,000 hp ( 1.5 MW )"
GP38-2W,1973-1974,51,B-B,EMD 16-645E,"2,000 hp ( 1.5 MW )"
GP39,1969-1970,23,B-B,EMD 12-645E3,"2,300 hp ( 1.7 MW )"
GP39DC,1970,2,B-B,EMD 12-645E3,"2,300 hp ( 1.7 MW )"
GP39X,1980,6,B-B,EMD 12-645E3,"2,600 hp ( 2.0 MW )"
GP39-2,1974-1984,239,B-B,EMD 12-645E3,"2,300 hp ( 1.7 MW )"
GP40,1965-1971,"1,221",B-B,EMD 16-645E3,"3,000 hp ( 2.2 MW )"
