Stadium,Hosts,Years
"StubHub Center , Carson , California",6,"2003 , 2004 , 2008 , 2011 , 2012 , 2014"
"Robert F. Kennedy Memorial Stadium , Washington , D.C",3,"1997 , 2000 , 2007"
"BMO Field , Toronto , Ontario",3,"2010 , 2016 , 2017"
"Foxboro Stadium , Foxborough , Massachusetts",2,"1996 , 1999"
"MAPFRE Stadium , Columbus , Ohio",2,"2001 , 2015"
"Pizza Hut Park , Frisco , Texas",2,"2005 , 2006"
"CenturyLink Field , Seattle , Washington",2,"2009 , 2019"
"Rose Bowl , Pasadena , California",1,1998
"Gillette Stadium , Foxborough , Massachusetts",1,2002
"Sporting Park , Kansas City , Kansas",1,2013
"Mercedes-Benz Stadium , Atlanta , Georgia",1,2018
