Medal,Name,Games,Sport,Event
Silver,Jigjidiin Mönkhbat,1968 Mexico City,Wrestling,Men 's freestyle 87 kg
Bronze,Chimedbazaryn Damdinsharav,1968 Mexico City,Wrestling,Men 's freestyle 52 kg
Bronze,Danzandarjaagiin Sereeter,1968 Mexico City,Wrestling,Men 's freestyle 70 kg
Bronze,Tömöriin Artag,1968 Mexico City,Wrestling,Men 's freestyle 78 kg
Silver,Khorloogiin Bayanmönkh,1972 Munich,Wrestling,Men 's freestyle 100 kg
Silver,Zevegiin Oidov,1976 Montreal,Wrestling,Men 's freestyle 62 kg
Silver,Tsendiin Damdin,1980 Moscow,Judo,Men 's 65 kg
Silver,Jamtsyn Davaajav,1980 Moscow,Wrestling,Men 's freestyle 74 kg
Bronze,Ravdangiin Davaadalai,1980 Moscow,Judo,Men 's 71 kg
Bronze,Dugarsürengiin Oyuunbold,1980 Moscow,Wrestling,Men 's freestyle 57 kg
Bronze,Nergüin Enkhbat,1988 Seoul,Boxing,Men 's lightweight
Bronze,Namjilyn Bayarsaikhan,1992 Barcelona,Boxing,Men 's lightweight
Bronze,Dorjsürengiin Mönkhbayar,1992 Barcelona,Shooting,Women 's 25 metre pistol
Bronze,Dorjpalamyn Narmandakh,1996 Atlanta,Judo,Men 's 60 kg
Bronze,Khashbaataryn Tsagaanbaatar,2004 Athens,Judo,Men 's 60 kg
Gold,Naidangiin Tüvshinbayar,2008 Beijing,Judo,Men 's 100 kg
Gold,Enkhbatyn Badar-Uugan,2008 Beijing,Boxing,Men 's bantamweight
Silver,Otryadyn Gündegmaa,2008 Beijing,Shooting,Women 's 25 m metre pistol
Silver,Pürevdorjiin Serdamba,2008 Beijing,Boxing,Men 's light flyweight
Silver,Nyambayaryn Tögstsogt,2012 London,Boxing,Men 's 52kg
