Name,Natural region,Area,Established
Alberto de Agostini,Zona Austral,"14,600 km ( 5,637 sq mi )",2000
Alerce Andino,Zona Sur,393 km ( 152 sq mi ),1982
Alerce Costero,Zona Sur,139 km ( 54 sq mi ),2012
Archipiélago de Juan Fernández,None,96 km ( 37 sq mi ),1935
Bernardo O'Higgins,Zona Austral,"35,259 km ( 13,614 sq mi )",1969
Bosque de Fray Jorge,Norte Chico,100 km ( 39 sq mi ),1941
Cabo de Hornos,Zona Austral,631 km ( 244 sq mi ),1945
Chiloé,Zona Austral,431 km ( 166 sq mi ),1983
Conguillío,Zona Sur,608 km ( 235 sq mi ),1950
Corcovado,Zona Austral,"2,096 km ( 809 sq mi )",2005
Hornopirén,Zona Austral,482 km ( 186 sq mi ),1988
Huerquehue,Zona Sur,125 km ( 48 sq mi ),1967
Isla Guamblin,Zona Austral,106.25 km ( 41 sq mi ),1967
Isla Magdalena,Zona Austral,"1,576 km ( 608 sq mi )",1983
La Campana,Zona Central,80 km ( 31 sq mi ),1967
Laguna del Laja,Zona Central,119 km ( 46 sq mi ),1958
Laguna San Rafael,Zona Austral,"17,420 km ( 6,726 sq mi )",1959
Las Palmas de Cocalán,Zona Central,37.02 km ( 14 sq mi ),1971
Lauca,Norte Grande,"1,379 km ( 532 sq mi )",1970
Llanos de Challe,Norte Chico,457 km ( 176 sq mi ),1994
