Name,Suburb,LGA,Opened,Website
Albion Park High School,Albion Park,Shellharbour,1991,Website
Batemans Bay High School,Batemans Bay,Eurobodalla,1988,Website
Bega High School,Bega,Bega Valley,1952,Website
Bomaderry High School,Bomaderry,Shoalhaven,1968,Website
Bombala High School,Bombala,Snowy Monaro,1973,Website
Bowral High School,Bowral,Wingecarribee,1930,Website
Bulli High School,Bulli,Wollongong,1956,Website
Corrimal High School,East Corrimal,Wollongong,1951,Website
Crookwell High School,Crookwell,Upper Lachlan,1968,Website
Dapto High School,Dapto,Wollongong,1958,Website
Eden Marine High School,Eden,Bega Valley,1972,Website
Figtree High School,Figtree,Wollongong,1969,Website
Goulburn High School,Goulburn,Goulburn,1913,Website
Illawarra Senior College,Port Kembla,Wollongong,1961,Website
Illawarra Sports High School,Berkeley,Wollongong,1957,Website
Kanahooka High School,Kanahooka,Wollongong,1973,Website
Karabar High School,Queanbeyan,Queanbeyan-Palerang,1977,Website
Keira Technology High School,North Wollongong,Wollongong,1944,Website
Kiama High School,Kiama,Kiama,1954,Website
Lake Illawarra High School,Lake Illawarra,Shellharbour,1972,Website
