Name,Service,Rank,Place of action,Date of action
Edward C. Dahlgren,Army,Sergeant,"Oberhoffen , France","February 11 , 1945"
Peter J. Dalessondro,Army,Technical Sergeant,"near Kalterherberg , Germany","December 22 , 1944"
Michael J. Daly,Army,First Lieutenant,"Nuremberg , Germany","April 18 , 1945"
Anthony P. Damato †,Marine Corps,Corporal,"Engebi Island , Eniwetok Atoll , Marshall Islands","February 19 , 1944 - February 20 , 1944"
Albert L. David †,Navy,"Lieutenant , Junior Grade",off French West Africa,"June 4 , 1944"
Rudolph B. Davila,Army,Staff Sergeant,"near Artena , Italy","May 28 , 1944"
Charles W. Davis,Army,Captain,Guadalcanal Island,"January 12 , 1943"
George F. Davis †,Navy,Commander,"USS Walke , Lingayen Gulf , Luzon , Philippines","January 6 , 1945"
James L. Day,Marine Corps,Corporal,"Okinawa , Ryukyu Islands","May 14 , 1945 - May 17 , 1945"
Samuel D. Dealey †,Navy,Commander,"USS Harder , near Philippines","Jun 6 , 1944 - Jun 10 , 1944"
Jefferson J. DeBlanc,Marine Corps,Captain,"off Kolombangara Island , Solomons group","January 31 , 1943"
Arthur F. DeFranzo †,Army,Staff Sergeant,"near Vaubadon , France","June 10 , 1944"
Charles N. DeGlopper †,Army,Private First Class,"Merderet River at la Fiere , France","June 9 , 1944"
"Emile Deleau , Jr. †",Army,Sergeant,"Oberhoffen , France","February 1 , 1945 - February 2 , 1945"
Ernest H. Dervishian,Army,Technical Sergeant,"near Cisterna , Italy","May 23 , 1944"
James H. Diamond †,Army,Private First Class,"Mintal , Mindanao , Philippines","May 8 , 1945 - May 14 , 1945"
Robert H. Dietz †,Army,Staff Sergeant,"Kirchain , Germany","March 29 , 1945"
Jimmy Doolittle,Air Forces,Lieutenant Colonel,over Japan,"April 18 , 1942"
Desmond T. Doss,Army,Private First Class,"near Urasoe Mura , Okinawa , Ryukyu Islands","April 29 , 1945 - May 21 , 1945"
Jesse R. Drowley,Army,Staff Sergeant,"Bougainville , Solomon Islands","January 30 , 1944"
