Rank,Artist,Album,Peak position,Sales,Certification
1,Eminem,Recovery,1,"435,000",Platinum
2,Bruno Mars,Doo-Wops & Hooligans,1,"240,000",3x Platinum
3,Katy Perry,Teenage Dream,1,"320,000",4x Platinum
4,Lady Antebellum,Need You Now,1,"240,000",3x Platinum
5,Taylor Swift,Speak Now,1,"240,000",3x Platinum
6,Kesha,Animal,1,"160,000",2x Platinum
7,Pink,Greatest Hits ... So Far ! ! !,4,"160,000",2x Platinum
8,Josh Groban,Illuminations,4,"83,100",Platinum
9,Glee,"Glee : The Music , The Christmas Album",1,"81,000",TBA
10,Avenged Sevenfold,Nightmare,2,"80,000",Platinum
