Club,Home city,2011 result,Home Ground
Aracruz,Aracruz,5th,Bambu
Colatina,Colatina,6th,Justiniano de Melo e Silva
Conilon,Jaguaré,1st ( 2nd division ),Estádio Conilon
Espírito Santo,Anchieta,7th,Estádio Joaquim Viana Ramalheti
Linhares,Linhares,3rd,Estádio Joaquim Calmon
Real Noroeste,Águia Branca,2nd ( 2nd division ),Estádio José Olímpio da Rocha
Rio Branco,Vitória,1st,Estádio Engenheiro Alencar Araripe
Serra,Serra,8th,Estádio do Sernamby
São Mateus,São Mateus,4th,Robertão
Vitória-ES,Vitória,2nd,Salvador Costa
