Pitcher,Wins-losses,Throws,Team,Season
Jack Chesbro,41-12,R,New York Highlanders,1904
Ed Walsh,40-15,R,Chicago White Sox,1908
Christy Mathewson,37-11,R,New York Giants,1908
Walter Johnson,36-7,R,Washington Senators,1913
Joe McGinnity,35-8,R,New York Giants,1904
Smoky Joe Wood,34-5,R,Boston Red Sox,1912
Cy Young,33-10,R,Boston Americans,1901
Christy Mathewson,33-12,R,New York Giants,1904
Walter Johnson,33-12,R,Washington Senators,1912
Grover Cleveland Alexander,33-12,R,Philadelphia Phillies,1916
Cy Young,32-11,R,Boston Americans,1902
Lefty Grove,31-4,L,Philadelphia Athletics,1931
Denny McLain,31-6,R,Detroit Tigers,1968
Christy Mathewson,31-9,R,New York Giants,1905
Jack Coombs,31-9,R,Philadelphia Athletics,1910
Grover Cleveland Alexander,31-10,R,Philadelphia Phillies,1915
Jim Bagby,31-12,R,Cleveland Indians,1920
Joe McGinnity,31-20,R,New York Giants,1903
Dizzy Dean,30-7,R,St. Louis Cardinals,1934
Grover Cleveland Alexander,30-13,R,Philadelphia Phillies,1917
