Player,Games,Points,Position,Club
Kristian Freed,4,4,FB,Connecticut Wildcats
Matt Petersen,4,8,WG,Cudgen Hornets
Bureta Fariamo,4,4,WG,Mackay Cutters
Taylor Welch,3,4,WG,New York Raiders
Gabriel Farley,0,0,CE,Southampton Dragons
Mike Garvey,3,0,CE,Ipswich Jets
Lelauloto Tagaloa,2,0,CE,Hawaii Chiefs
Joseph Paulo ( captain ),4,20,SO,Parramatta Eels
David Marando,1,0,SH,Belrose Eagles
Craig Priestley,4,4,SH,Southampton Dragons
Joel Luani,4,0,HK,Wests Tigers
Tui Samoa,4,8,HK,Redcliffe Dolphins
Stephen Howard,1,0,PR,Tuggeranong Bushrangers
Judah Lavulo,2,0,PR,Cabramatta Two Blues
Mark Offerdahl,4,4,PR,Connecticut Wildcats
Junior Paulo,1,0,PR,Parramatta Eels
Les Soloai,3,0,PR,Utah Avalanche
Roman Hifo,3,0,SR,Mangere East Hawks
Clint Newton,4,8,SR,Penrith Panthers
Eddy Pettybourne,4,0,SR,Wests Tigers
