Name,Country of birth,Rank,Branch,Place of action,Date of action
Otto Boehler,Germany,Private,Army,"Luzon , Philippines","May 16 , 1899"
Joseph Fitz,Austria,Ordinary Seaman,Navy,"Sulu , Philippines","March 8 , 1906"
Gotfred Jensen,Denmark,Private,Army,"Luzon , Philippines","May 13 , 1899"
Cornelius J. Leahy *,Ireland,Private,Army,"Luzon , Philippines","September 3 , 1899"
José B. Nísperos,Philippines,Private,Army,"Basilan , Philippines","September 24 , 1911"
Thomas Francis Prendergast,Ireland,Corporal,Marine Corps,"Luzon , Philippines","March 25 , 1899 - March 29 , 1899 and April 5 , 1899"
Patrick Shanahan,Ireland,Chief Boatswain 's Mate,Navy,Philippines,"May 28 , 1899"
Thomas Sletteland,Norway,Private,Army,"Luzon , Philippines","April 12 , 1899"
George E. Stewart,Australia,Second Lieutenant,Army,"Panay , Philippines","November 26 , 1899"
Andrew V. Stoltenberg,Norway,Gunner 's Mate Second Class,Navy,"Samar , Philippines","July 16 , 1900"
Paul F. Straub,Germany,Surgeon,Army,"Luzon , Philippines","December 21 , 1899"
William G. Thordsen,Germany,Coxswain,Navy,"Leyte , Philippines","May 6 , 1900"
