Name,Nationality,Moving from,Moving to,Fee
Dražen Bolić,Serbia ?,Bologna,Chiasso,"€1,000"
Alejandro Rodríguez,Spain,Espanyol,Cesena ( youth ),Free
Federico Conti,Italy,Catania,Messina ( amateur ),
Filippo Tanaglia,Italy,Chievo ( & Ascoli ),Giacomense,Loan
Giuseppe Toscano,Italy,Reggina,Latina,
Gaetano Cala,Italy,Udinese,Matera,
Kingsley Umunegbu,Nigeria,Milan,Renate,
Rosario Bucolo,Italy,Catania,Milazzo,"Co-ownership , Undisclosed"
Christian Iannelli,Italy,Catania,Milazzo,"Co-ownership , Undisclosed"
Angelo Gregorio,Italy,Cesena ( youth ),Santarcangelo ( amateur ),Loan
Simone Tonelli,Italy,Cesena ( youth ),Santarcangelo ( amateur ),Loan
Ameth Fall,Senegal,Cesena ( youth ),Bellaria,Loan
Filippo Fracaro,Italy,Chievo,Bassano ( youth ),Loan
Isah Eliakwu,Nigeria,Varese,Anzhi Makhachkala,Free
Paolo Pincio,Italy,Fiorentina,Battipagliese ( amateur ),Undisclosed
Marco Zentil,Italy,Vicenza,Pizzighettone ( amateur ),Undisclosed
Gleison Santos,Brazil,Reggina,Skoda Xanthi,?
Elia Ballardini,Italy,Cesena ( youth ),Bellaria - I.M,Loan
Tommaso Morosini,Italy,AlbinoLeffe ( youth ),Prato,Loan
