Player,Pos,Team ( s ),Games played,Career start,Career end
David Lighty,G/F,Ohio State,157,2006,2011
Jakob Gollon,F,Mercer,154,2008,2014
Nate Austin,F/C,BYU,153,2011,2016
Josh Perkins,G,Gonzaga,153,2014,2019
Przemek Karnowski,C,Gonzaga ( 2 ),152,2012,2017
Darius Miller,G/F,Kentucky,152,2008,2012
Deon Thompson,F,North Carolina,152,2006,2010
Nate Britt,G,North Carolina ( 2 ),151,2013,2017
Isaiah Hicks,F,North Carolina ( 3 ),151,2013,2017
Walter Hodge,G,Florida,151,2005,2009
Wayne Turner,G,Kentucky ( 2 ),151,1995,1999
Antonio Anderson,F,Memphis,150,2005,2009
Nigel Hayes,F,Wisconsin,150,2013,2017
Amile Jefferson,F,Duke,150,2012,2017
Patric Young,C/F,Florida ( 2 ),150,2010,2014
Joey Dorsey,C,Memphis ( 2 ),149,2004,2008
Lamar Patterson,G/F,Pittsburgh,149,2009,2014
Ethan Wragge,F,Creighton,149,2009,2014
Mike Best,F/C,UC Irvine,148,2011,2016
Phil Booth,G,Villanova,148,2014,2019
