Date,Ship,Country,Builder,Location,Class / type
2 May,Claremont Victory,United States,Oregon Shipbuilding Company,Portland,Victory ship
2 May,Frank Adair Monroe,United States,Delta Shipbuilding Company,New Orleans,Liberty ship
2 May,Navajo Victory,United States,California Shipbuilding Corporation,Los Angeles,Victory ship
2 May,Samsoaring,United States,Bethlehem-Fairfield Shipyards,Baltimore,Liberty ship
2 May,Empire Barnaby,United Kingdom,W.J . Yarwood & Sons ( 1938 ) Ltd,Northwich,Water carrier
3 May,Henry D. Lindsley,United States,Todd Houston Shipbuilding Corporation,"Houston , Texas",Liberty ship
3 May,William E. Ritter,United States,"Permanente Metals , # 2 Yard","Richmond , California",Liberty ship
4 May,George E. Merrick,United States,St. Johns River Shipbuilding Company,"Jacksonville , Florida",Liberty ship
4 May,Commencement Bay,United States,Todd Pacific Shipyards,"Tacoma , Washington",Commencement Bay -class escort carrier
4 May,Kwajalein,United States,Kaiser Shipyards,"Vancouver , Washington",Casablanca -class escort carrier
5 May,Aaron Ward,United States,Bethlehem Steel,"San Pedro , California",Allen M. Sumner -class destroyer
5 May,Cranston Victory,United States,Oregon Shipbuilding Company,Portland,Victory ship
5 May,Jean Ribaut,United States,J . A. Jones Construction Company,"Panama City , Florida",Liberty ship
5 May,Joe Harris,United States,"Permanente Metals , # 2 Yard","Richmond , California",Liberty ship
5 May,Samcrest,United States,Bethlehem-Fairfield Shipyards,Baltimore,Liberty ship
5 May,U 2501,Nazi Germany,Blohm + Voss,Hamburg,Type XXI submarine
6 May,Mello Franco,United States,"Permanente Metals , # 2 Yard","Richmond , California",Liberty ship
6 May,Samidway,United States,New England Shipbuilding Company,"South Portland , Maine",Liberty ship
6 May,Samsuva,United States,New England Shipbuilding Company,"South Portland , Maine",Liberty ship
8 May,James D. Trask,United States,Bethlehem-Fairfield Shipyards,Baltimore,Liberty ship
