Medal,Name,Games,Sport,Event
Bronze,Asnoldo Devonish,1952 Helsinki,Athletics,Men 's triple jump
Bronze,Enrico Forcella,1960 Rome,Shooting,Men 's 50 metre rifle prone
Gold,Francisco Rodríguez,1968 Mexico City,Boxing,Men 's light flyweight
Silver,Pedro Gamarro,1976 Montreal,Boxing,Men 's welterweight
Silver,Bernardo Piñango,1980 Moscow,Boxing,Men 's bantamweight
Bronze,Marcelino Bolívar,1984 Los Angeles,Boxing,Men 's light flyweight
Bronze,Omar Catari,1984 Los Angeles,Boxing,Men 's featherweight
Bronze,Rafael Vidal,1984 Los Angeles,Swimming,Men 's 200 metre butterfly
Bronze,Adriana Carmona,2004 Athens,Taekwondo,Women 's +67 kg
Bronze,Israel Jose Rubio,2004 Athens,Weightlifting,Men 's 62 kg
Bronze,Dalia Contreras,2008 Beijing,Taekwondo,Women 's 49 kg
Gold,Rubén Limardo,2012 London,Fencing,Men 's épée
Silver,Yulimar Rojas,2016 Rio de Janeiro,Athletics,Women 's triple jump
Silver,Yoel Finol,2016 Rio de Janeiro,Boxing,Men 's flyweight
Bronze,Stefany Hernandez,2016 Rio de Janeiro,Cycling,Women 's BMX
