Released,English title,Korean title,Director,Cast
5 January,Wonderful Radio,원더풀 라디오,Kwon Chil-in,"Lee Min-jung , Lee Jung-jin"
12 January,Jesus Hospital,밍크코트,"Lee Sang-cheol , Shin A-ga","Hwang Jeong-min , Kim Mi-hyang , Han Song-hee"
12 January,The Outback,코알라 키드 : 영웅의 탄생,Lee Kyung-ho,"( Korean dubbed ) Lee Taemin , Sunny"
18 January,Dancing Queen,댄싱 퀸,Lee Seok-hoon,"Uhm Jung-hwa , Hwang Jung-min"
18 January,Never Ending Story,네버 엔딩 스토리,Jung Yong-ju,"Uhm Tae-woong , Jung Ryeo-won"
18 January,Pacemaker,페이스메이커,Kim Dal-joong,"Kim Myung-min , Ahn Sung-ki , Go Ara"
18 January,Unbowed,부러진 화살,Chung Ji-young,"Ahn Sung-ki , Park Won-sang"
26 January,Speckles : The Tarbosaurus,점박이 : 한반도의 공룡,Han Sang-ho,"Lee Hyung-suk , Shin Yong-woo , Gu Ja-hyeong"
1 February,Papa,파파,Han Ji-seung,"Park Yong-woo , Go Ara"
2 February,Nameless Gangster : Rules of the Time,범죄와의 전쟁,Yoon Jong-bin,"Choi Min-sik , Ha Jung-woo"
2 February,2 Lines,두 개의 선,Jimin,
16 February,Howling,하울링,Yoo Ha,"Song Kang-ho , Lee Na-young"
23 February,The Angel 's Breath,천사의 숨소리,Han Ji-won,"Kim Yeong-seon , Han Ji-won"
23 February,Bolts and Blip,볼츠와 블립,Peter Lepeniotis,"( Korean dubbed ) Kim Il , Choi Jeong-ho"
29 February,Comic Book Store 3D,만화방3D,Heo Jae-hyeong,"Lee Eun-mi , Jung Yi-kyul"
29 February,Love Fiction,러브픽션,Jeon Kye-soo,"Ha Jung-woo , Gong Hyo-jin"
29 February,Welcome Back to the Beast Airline 3D,비스트 앵콜 콘서트 3D,Son Seok,Beast
1 March,Hoya ( Eighteen and Nineteen ),"열여덟 , 열아홉",Bae Kwang-su,"Yoo Yeon-seok , Baek Jin-hee"
1 March,Stateless Things,줄탁동시,Kim Kyung-mook,"Lee Paul , Yeom Hyun-joon"
8 March,Choked,가시,Kim Joong-hyeon,"Uhm Tae-goo , Park Se-jin , Kil Hae-yeon"
