#,Name,Fee,Paid to,Date
1,Oliver Burke,£15 million,RB Leipzig,25 August 2017
2,Nacer Chadli,£13 million,Tottenham Hotspur,29 August 2016
3,José Salomón Rondón,£12 million,Zenit Saint Petersburg,10 August 2015
4,Jay Rodriguez,£12 million,Southampton,2 July 2017
5,Brown Ideye,£10 million,Dynamo Kiev,18 July 2014
6,Jake Livermore,£10 million,Hull City F.C,20 January 2017
7,Stéphane Sessègnon,£6.6 million,Sunderland,2 September 2013
8,Victor Anichebe,£6 million,Everton,2 September 2013
9,Shane Long,£5 million,Reading,9 August 2011
10,Borja Valero,£4.7 million,RCD Mallorca,22 August 2008
