Seasons,Footballers,Teams/Clubs
2019,Farizal Marlias,Johor Darul Ta'zim F.C
2018,Farizal Marlias,Johor Darul Ta'zim F.C
2017,Ifwat Akmal,Kedah FA
2016,Khairul Fahmi Che Mat,Kelantan FA
2015,Farizal Marlias,Johor Darul Ta'zim F.C
2014,Khairul Azhan Khalid,Pahang FA
2013,Khairul Fahmi Che Mat,Kelantan FA
2012,Khairul Fahmi Che Mat,Kelantan FA
2011,Khairul Fahmi Che Mat,Kelantan FA
2010,Khairul Fahmi Che Mat,Kelantan FA
2009,Mohd Farizal Marlias,Perlis FA
2007-08,Mohd Helmi Eliza Elias,Kedah FA
2006-07,Mohd Helmi Eliza Elias,Kedah FA
2005-06,Mohd Syamsuri Mustafa,Terengganu FA
