Year,Performing artist ( s ),Work,Nominees
1981,George Benson,Moody 's Mood,Bill Henderson - Street of Dreams Mark Murphy - Satisfaction Guaranteed Slam Stewart - Sidewalks of New York Mel Tormé - Tormé : A New Album
1982,Al Jarreau,"( Round , Round , Round ) Blue Rondo à la Turk","Johnny Hartman - Once in Every Life Jimmy Rowles - Music 's the Only Thing ( That 's ) On My Mind Mel Tormé - Mel Tormé and Friends Recorded Live at Marty 's New York City Joe Turner - Have No Fear , Joe Turner Is Here"
1983,Mel Tormé,An Evening with George Shearing & Mel Tormé,"Dave Frishberg - The Dave Frishberg Songbook , Volume One Bill Henderson - A Tribute to Johnny Mercer Mark Murphy - Bop for Kerouac Joe Williams - 8 to 5 I Lose"
1984,Mel Tormé,Top Drawer,"Mose Allison - Lessons in Living Dave Frishberg - The Dave Frishberg Songbook , Volume Two Jon Hendricks - Cloudburst Jimmy Witherspoon - Jimmy Witherspoon Sings the Blues with Panama Francis and the Savoy Sultans"
1985,-,-,-
1986,Bobby McFerrin and Jon Hendricks,Another Night in Tunisia,"George Benson - Beyond the Sea Dave Frishberg - Live at Vine Street Mark Murphy - Mark Murphy Sings Nat 's Choice Alan Paul - Oh Yes , I Remember Clifford"
1987,Bobby McFerrin,'Round Midnight,Grady Tate - She 's Out of My Life Mel Tormé - An Elegant Evening Joe Williams - I Just Want to Sing Jimmy Witherspoon - Midnight Lady Called the Blues
1988,Bobby McFerrin,What Is This Thing Called Love ?,Billy Eckstine and Benny Carter - Billy Eckstine Sings with Benny Carter Dave Frishberg - Ca n't Take You Nowhere Arthur Prysock - This Guy 's in Love With You Joe Williams - Every Night
1989,Bobby McFerrin,Brothers,Mose Allison - Ever Since the World Ended João Gilberto - Live in Montreux Mark Murphy - September Ballads Mel Tormé - A Vintage Year
1990,"Harry Connick , Jr",When Harry Met Sally,George Benson - Tenderly Dr. John - In a Sentimental Mood Lou Rawls - At Last Joe Williams - In Good Company
1991,"Harry Connick , Jr",We Are in Love,Tony Bennett - Astoria : Portrait of the Artist George Benson - Big Boss Band Jon Hendricks - Freddie Freeloader Bobby McFerrin - Scrapple from the Apple
