Pos,No,Driver,Constructor,Time,Gap
1,1,Mika Häkkinen,McLaren - Mercedes,1:10.954,
2,2,David Coulthard,McLaren - Mercedes,1:11.153,+0.199
3,4,Eddie Irvine,Ferrari,1:11.973,+1.019
4,8,Heinz-Harald Frentzen,Jordan - Mugen-Honda,1:12.266,+1.312
5,16,Rubens Barrichello,Stewart - Ford,1:12.342,+1.388
6,17,Johnny Herbert,Stewart - Ford,1:12.488,+1.534
7,3,Mika Salo,Ferrari,1:12.514,+1.560
8,6,Ralf Schumacher,Williams - Supertec,1:12.515,+1.561
9,22,Jacques Villeneuve,BAR - Supertec,1:12.833,+1.879
10,10,Alexander Wurz,Benetton - Playlife,1:12.850,+1.896
11,7,Damon Hill,Jordan - Mugen-Honda,1:12.901,+1.947
12,9,Giancarlo Fisichella,Benetton - Playlife,1:12.924,+1.970
13,19,Jarno Trulli,Prost - Peugeot,1:12.999,+2.045
14,5,Alessandro Zanardi,Williams - Supertec,1:13.101,+2.147
15,23,Ricardo Zonta,BAR - Supertec,1:13.172,+2.218
16,12,Pedro Diniz,Sauber - Petronas,1:13.223,+2.269
17,11,Jean Alesi,Sauber - Petronas,1:13.226,+2.272
18,18,Olivier Panis,Prost - Peugeot,1:13.457,+2.503
19,20,Luca Badoer,Minardi - Ford,1:13.606,+2.652
20,15,Toranosuke Takagi,Arrows,1:13.641,+2.687
