Country,Governor-general,Since,List
Antigua and Barbuda,Sir Rodney Williams,14 August 2014,List
Australia,David Hurley,1 July 2019,List
The Bahamas,Sir Cornelius A. Smith,28 June 2019,List
Barbados,Dame Sandra Mason,8 January 2018,List
Belize,Sir Colville Young,17 November 1993,List
Canada,Julie Payette,2 October 2017,List
Grenada,Dame Cécile La Grenade,7 May 2013,List
Jamaica,Sir Patrick Allen,26 February 2009,List
New Zealand,Dame Patsy Reddy,28 September 2016,List
Papua New Guinea,Sir Bob Dadae,28 February 2017,List
Saint Kitts and Nevis,Sir Tapley Seaton,20 May 2015,List
Saint Lucia,Sir Neville Cenac,12 January 2018,List
Saint Vincent and the Grenadines,Susan Dougan,1 August 2019,List
Solomon Islands,Sir David Vunagi,7 July 2019,List
Tuvalu,Sir Iakoba Italeli,16 April 2010,List
