Medal,Name,Games,Sport,Event
Gold,Romas Ubartas,1992 Barcelona,Athletics,Men 's Discus Throw
Bronze,Men 's basketball team Romanas Brazdauskis Valdemaras Chomičius Darius Dimavičius Gintaras Einikis Sergėjus Jovaiša Artūras Karnišovas Gintaras Krapikas Rimas Kurtinaitis Šarūnas Marčiulionis Alvydas Pazdrazdis Arvydas Sabonis Arūnas Visockas,1992 Barcelona,Basketball,Men 's Team Competition
Bronze,Men 's basketball team Arvydas Sabonis Šarūnas Marčiulionis Rimas Kurtinaitis Gintaras Einikis Artūras Karnišovas Darius Lukminas Saulius Štombergas Eurelijus Žukauskas Mindaugas Žukauskas Andrius Jurkūnas Rytis Vaišvila Tomas Pačėsas,1996 Atlanta,Basketball,Men 's Team Competition
Gold,Virgilijus Alekna,2000 Sydney,Athletics,Men 's Discus Throw
Gold,Daina Gudzinevičiūtė,2000 Sydney,Shooting,Women 's Trap Shooting
Bronze,Men 's basketball team Saulius Štombergas Mindaugas Timinskas Eurelijus Žukauskas Darius Maskoliūnas Ramūnas Šiškauskas Darius Songaila Šarūnas Jasikevičius Kęstutis Marčiulionis Tomas Masiulis Dainius Adomaitis Gintaras Einikis Andrius Giedraitis,2000 Sydney,Basketball,Men 's Team Competition
Bronze,Diana Žiliūtė,2000 Sydney,Cycling,Women 's Individual Road Race
Bronze,Kristina Poplavskaja Birutė Šakickienė,2000 Sydney,Rowing,Women 's Double Sculls
Gold,Virgilijus Alekna,2004 Athens,Athletics,Men 's discus throw
Silver,Austra Skujyte,2004 Athens,Athletics,Women 's heptathlon
Silver,Andrejus Zadneprovskis,2004 Athens,Modern pentathlon,Men 's event
Silver,Edvinas Krungolcas,2008 Beijing,Modern pentathlon,Men 's event
Silver,Gintarė Volungevičiūtė,2008 Beijing,Sailing,Women 's Laser Radial
Silver,Mindaugas Mizgaitis,2008 Beijing,Wrestling,Men 's Greco-Roman 120 kg
Bronze,Virgilijus Alekna,2008 Beijing,Athletics,Men 's discus throw
Bronze,Andrejus Zadneprovskis,2008 Beijing,Modern pentathlon,Men 's event
Gold,Laura Asadauskaitė,2012 London,Modern pentathlon,Women 's event
Gold,Rūta Meilutytė,2012 London,Swimming,Women 's 100 m breaststroke
Bronze,Evaldas Petrauskas,2012 London,Boxing,Men 's lightweight
Bronze,Austra Skujyte,2012 London,Athletics,Women 's heptathlon
