Call letters,Channel,Network ( s ),City and state
KPAX-TV,7 PSIP 8,8.1 CBS 7.2 The CW,"Missoula , Montana"
KPAZ-TV,20 PSIP 21,TBN,"Phoenix , Arizona"
KPBS,19 PSIP 15,PBS,"San Diego , California"
KPBT-TV,28 PSIP 36,PBS,"Odessa , Texas"
KPCB-DT,17 PSIP 17,God 's Learning Channel,"Snyder , Texas"
KPDX,30 PSIP 49,49.1 MyNetworkTV 49.2 Escape,"Vancouver , Washington"
KPEJ-TV,23 PSIP 24,Fox,"Odessa , Texas"
KPHO-TV,17 PSIP/cable 5,CBS,"Phoenix , Arizona"
KPIC,19 PSIP/cable 4,CBS,"Roseburg , Oregon"
KPIX-TV,29 PSIP 5,CBS,"San Francisco , California"
KPJK,43 PSIP 60,Educational Independent,"San Mateo , California"
KPJR-TV,17 PSIP 38,TBN,"Greeley , Colorado"
KPLC,7 PSIP 7,7.1 NBC 7.3 Bounce TV,"Lake Charles , Louisiana"
KPLO-TV,13 PSIP 6,13.1 CBS 13.2 MyNetworkTV,"Reliance , South Dakota"
KPLR-TV,26 PSIP/cable 11,The CW,"St. Louis , Missouri"
KPMR,21 PSIP 38,38.1 Univision 43.2 KTSB-CA,"Santa Barbara , California"
KPNE-TV,9 PSIP 9,PBS,"North Platte , Nebraska"
KPNX,12 PSIP 12,NBC,"Mesa , Arizona"
KPNZ,24 PSIP 24,Estrella TV,"Ogden , Utah"
KPOB-TV,15 PSIP 15,ABC,"Poplar Bluff , Missouri"
