Title,Author,Year,Notes
14,Peter Clines,2012,A speculative fiction novel which explores the Cthulhu Mythos in a contemporary setting
The Adventures of Samurai Cat,Mark E. Rogers,1984,"The character Samurai Cat traverses time and space on a mission of revenge , and at one point wreaks havoc in H. P. Lovecraft 's The Shadow Over Innsmouth"
Afterlife with Archie,Archie Horror,2014,"A comic series in which Sacthubrina ends up at an otherworldly asylum run by Dr. Lovecraft after setting off the zombie apocalypse in the series . Due to her use of the Necronomicon she has inadvertently awakened Cthulhu , who intends for her to serve as his bride"
All-Consuming Fire,Andy Lane,1994,"This Doctor Who Virgin New Adventures novel is set on a planet called Ry'leh and features an alien claiming to be Azathoth . It also equates several pre-existing Doctor Who monsters with Mythos creatures , claiming Fenric ( from The Curse of Fenric ) is Hastur , the Great Intelligence is Yog-Sothoth , and the Animus ( from The Web Planet ) is Lloigor"
And Another Thing,Eoin Colfer,2009,"The final installment in the Hitchhiker 's Guide to the Galaxy series , and , in a humorous vignette , features Cthulhu interviewing for the position of god of the planet Nano"
Astronomicon minorem,Khurt Khave,2015,Main religious text of the First United Church of Cthulhu
Awoken,Serra Elinsen,2013,"A young adult paranormal romance about a girl who falls in love with Cthulhu who appears at her high school in the guise of a teenage boy . The novel was created by internet film critic Lindsay Ellis and her friends Nella Inserra and Elisa Hansen , along with their fanbase as a parody of Twilight and subsequent novels of the young adult paranormal romance genre"
The Book of the SubGenius and other SubGenius literature,J.R. Bob Dobbs and The SubGenius Foundation,1983,"Contains many references and allusions to the Cthulhu Mythos , such as identifying J.R. Bob Dobbs ' real identity as Nyarlathotep and numerous mentions of the Elder Gods and Great Old Ones , who include SubGenius deities such as Jehovah 1 and the Discordian /SubGenius deity Eris Discordia , and mentioning Cthulhu as one of the common choices for a ShorDurPerSav ( short-duration personal savior )"
The Call of C'rruso,"Mark Shaw , Laura Shaw and Flemming Andersen",2016,"In Donald Duck # 16 , this Disney comics adventure story is a loose parody of the Cthulhu Mythos . Wannabe star singer Donald Duck is taken to the lost city of Sp'too , where the many-eyed monster-god Pf'legmwad lies sleeping - with all of our world existing only as a part of his dream . Mr. C'rruso , a humanlike manifestation of Pf'legmwad 's mind , thinks that Donald 's quacky singing voice will wake the monster up , as it eventually does"
A Colder War,Charles Stross,1997,A novella that blends the political fiction and technothriller genres with the Mythos
The Crawlin ' Chaos Blues,Edward Michael Erdelac,2010,A blues singer in 1964 who makes a deal with Nyarlathotep for fame and fortune
Crouch End,Stephen King,1980,"A short story concerning a young couple lost in the London suburb , featuring several references to the Mythos"
Darkwing Duck,,,"A story arc of the comic book series involves the criminal organization F.O.W.L . unleashing Duckthulu , an obvious parody of Cthulhu"
Destiny : The Sacred City,Andrew Lawrenson,2016,"The conclusion in the Brotherhood of the Star trilogy , in which the protagonists must face a final battle against the dark cult and their plans to raise an ancient evil"
Discworld ( series ),Terry Pratchett,1983 -,"Numerous allusions exist throughout the series ; the most explicit of these is the Necrotelecomnicon , after Lovecraft 's iconic Necronomicon grimoire"
The Dream-Quest of Vellitt Boe,Kij Johnson,2016,"A novella set in the dreamlands and featuring an appearance by Raymond Carter , a former lover of the protagonist , in a subtly feminist re-imagining of Lovecraft 's The Dream-Quest of Unknown Kadath"
Famous Monsters of Filmland,,,A variant cover for issue # 281 featured Cthulhu locked in battle with Godzilla
Green Lama Unbound,Adam Lance Garcia,2010,"The Green Lama , a pulp hero from the 1940s , battles Nazis as they attempt to raise Cthulhu . Features strong elements from the Mythos"
Good Omens,Terry Pratchett & Neil Gaiman,1990,Hastur appears as one of the Dukes of Hell
"I , Cthulhu",Neil Gaiman,1986,A short story on Gaiman 's website featuring Cthulhu dictating an autobiography to a human slave
