Church,Dates,"City , State"
Calvary Methodist Episcopal Church,1914 built 2008 NRHP-listed,"Albany , New York"
Densmore Methodist Church of the Thousand Islands,built NRHP-listed,"Alexandria , New York"
North Settlement Methodist Church,built NRHP-listed,"Ashland , New York"
West Settlement Methodist Church,built NRHP-listed,"Ashland , New York"
Thompson A.M.E. Zion Church,built 1974 NRHP-listed 1974 NHL,"Auburn , New York"
Wall Street Methodist Episcopal Church,built NRHP-listed,"Auburn , New York"
First Methodist Episcopal Church of Avon,built NRHP-listed,"Avon , New York"
Bay Shore Methodist Episcopal Church,built NRHP-listed,"Bay Shore , New York"
Trinity Methodist Church,built NRHP-listed,"Beacon , New York"
East Berkshire United Methodist Church,built NRHP-listed,"Berkshire , New York"
Bloomville Methodist Episcopal Church,built NRHP-listed,"Bloomville , New York"
Andrews United Methodist Church,built NRHP-listed,"Brooklyn , New York"
Bay Ridge United Methodist Church,built NRHP-listed,"Brooklyn , New York"
Buck 's Bridge United Methodist Church,built NRHP-listed,"Buck 's Bridge , New York"
Delaware Avenue Methodist Episcopal Church,built NRHP-listed,"Buffalo , New York"
Durham Memorial A.M.E. Zion Church,built NRHP-listed,"Buffalo , New York"
Richmond Avenue Methodist-Episcopal Church,built NRHP-listed,"Buffalo , New York"
Methodist Episcopal Church of Butler,built NRHP-listed,"Butler Center , New York"
Callicoon Methodist Church and Parsonage,built NRHP-listed,"Callicoon , New York"
Canastota Methodist Church,built NRHP-listed,"Canastota , New York"
