Release date,Developer,English title,Japanese title,Genre
1994,Capcom,Warriors of Fate Sangokushi II ( Asia ),Tenchi o Kurau II : Sekiheki no Tatakai ( 天地を喰らう2・赤壁の戦い ),Beat 'em up
1994,Capcom,Capcom World 2 : Adventure Quiz,Adventure Quiz Capcom World 2 ( アドベンチャークイズカプコンワールド2 ),Quiz game
1995,Capcom,Captain Commando,Captain Commando ( キャプテンコマンドー ),Beat 'em up
1994,Capcom,Final Fight,Final Fight ( ファイナルファイト ),Beat 'em up
1995,Capcom,Knights of the Round,Knights of the Round ( ナイツオブザラウンド ),Beat 'em up
1995,Capcom,Muscle Bomber Duo : Ultimate Team Battle,Muscle Bomber Duo : Heat Up Warriors ( マッスルボマーDUO -Heat Up Warriors- ),Sports game
1994,Capcom,Saturday Night Slam Masters,Muscle Bomber : The Body Explosion ( マッスルボマー -The Body Explosion- ),Sports game
1994,Capcom,Street Fighter II′ : Champion Edition,Street Fighter II Dash : Champion Edition ( ストリートファイターⅡダッシュ -Champion Edition- ),Versus Fighting
"1994 , pack-in",Capcom,Street Fighter II′ Turbo : Hyper Fighting,Street Fighter II Dash Turbo : Hyper Fighting ( ストリートファイターⅡダッシュターボ -Hyper Fighting- ),Versus Fighting
1995,Capcom,Street Fighter Alpha,Street Fighter Zero ( ストリートファイターZERO ),Versus Fighting
1995,Capcom,The King of Dragons,The King of Dragons ( ザ・キングオブドラゴンズ ),Beat 'em up
