Title,Publisher,Release Date,CERO
Chō Makaimura,Capcom,"April 27 , 2013",A
F-Zero,Nintendo,"April 27 , 2013",A
Fire Emblem : Monshō no Nazo,Nintendo,"April 27 , 2013",A
Fire Emblem : Seisen no Keifu,Nintendo,"April 27 , 2013",A
Mario no Super Picross,Nintendo,"April 27 , 2013",A
Mother 2 : Gyiyg no Gyakushū,Nintendo,"April 27 , 2013",A
Super Mario World,Nintendo,"April 27 , 2013",A
Hoshi no Kirby Super Deluxe,Nintendo,"May 1 , 2013",A
Hoshi no Kirby 3,Nintendo,"May 8 , 2013",A
Kirby Bowl,Nintendo,"May 8 , 2013",A
Kirby no Kirakira Kizzu,Nintendo,"May 8 , 2013",A
Super Metroid,Nintendo,"May 15 , 2013",A
Heracles no Eikō III : Kamigami no Chinmoku,Paon,"May 22 , 2013",A
Rockman X,Capcom,"May 22 , 2013",A
Panel de Pon,Nintendo,"May 29 , 2013",A
Pilotwings,Nintendo,"May 29 , 2013",A
Super Mario Kart,Nintendo,"June 19 , 2013",A
Final Fantasy VI,Square Enix,"June 26 , 2013",B
Seiken Densetsu 2,Square Enix,"June 26 , 2013",A
Shin Megami Tensei,Atlus,"July 3 , 2013",A
