#,Title,Co-Stars,Release Date,Director,Series
1,Mutiny on the Bunny,Sam,"February 11 , 1950 ( 1950-02-11 )",Friz Freleng,LT
2,Bushy Hare,Hippety Hopper,"November 18 , 1950 ( 1950-11-18 )",Robert McKimson,LT
3,Hare We Go,,"January 6 , 1951 ( 1951-01-06 )",Robert McKimson,MM
4,Foxy by Proxy,,"February 23 , 1952 ( 1952-02-23 )",Friz Freleng,MM
5,Hare Trimmed,"Granny , Sam","June 20 , 1953 ( 1953-06-20 )",Friz Freleng,MM
6,^ Lumber Jack-Rabbit *,Charlie,"September 26 , 1953 ( 1953-09-26 )",Chuck Jones,LT
7,^ Napoleon Bunny-Part,Mugsy,"June 16 , 1956 ( 1956-06-16 )",Friz Freleng,MM
8,^ Bedevilled Rabbit,"Taz , She-Devil","April 13 , 1957 ( 1957-04-13 )",Robert McKimson,MM
9,^ Apes of Wrath,"Drunken Stork , Elvis Gorilla , Daffy Duck ( cameo )","April 18 , 1959 ( 1959-04-18 )",Friz Freleng,MM
10,^ From Hare to Heir,Sam,"September 3 , 1960 ( 1960-09-03 )",Friz Freleng,MM
11,^ Lighter Than Hare,Sam,"December 17 , 1960 ( 1960-12-17 )",Friz Freleng,MM
12,^ The Million Hare,Daffy,"April 6 , 1963 ( 1963-04-06 )",Robert McKimson,LT
13,^ Mad as a Mars Hare,Marvin,"October 19 , 1963 ( 1963-10-19 )",Chuck Jones,MM
14,^ Dr. Devil and Mr. Hare,Taz,"March 28 , 1964 ( 1964-03-28 )",Robert McKimson,MM
15,^ False Hare,"Big Bad Wolf , Wolf Jr. , Foghorn Leghorn ( cameo )","July 18 , 1964 ( 1964-07-18 )",Robert McKimson,LT
