Medal,Name,Sport,Event
Gold,Kati Wilhelm,Biathlon,Women 's 7.5 km sprint
Gold,Andrea Henkel,Biathlon,Women 's 15 km
Gold,Katrin Apel Uschi Disl Andrea Henkel Kati Wilhelm,Biathlon,Women 's 4 × 7.5 km relay
Gold,Christoph Langen Markus Zimmerman,Bobsleigh,Two-man
Gold,André Lange Enrico Kuehn Kevin Kuske Carsten Embach,Bobsleigh,Four-man
Gold,Manuela Henkel Viola Bauer Claudia Kuenzel Evi Sachenbacher,Cross-country skiing,Women 's 4 × 5 km relay
Gold,Alexander Resch Patric-Fritz Leitner,Luge,Men 's doubles
Gold,Sylke Otto,Luge,Women 's individual
Gold,Michael Uhrmann Stephan Hocke Sven Hannawald Martin Schmitt,Ski jumping,Men 's team large hill ( K120 )
Gold,Anni Friesinger,Speed skating,Women 's 1500 m
Gold,Claudia Pechstein,Speed skating,Women 's 3000 m
Gold,Claudia Pechstein,Speed skating,Women 's 5000 m
Silver,Sven Fischer,Biathlon,Men 's 10 km sprint
Silver,Frank Luck,Biathlon,Men 's 20 km
Silver,Sven Fischer Frank Luck Ricco Groß Peter Sendel,Biathlon,Men 's 4 × 7.5 km relay
Silver,Uschi Disl,Biathlon,Women 's 7.5 km sprint
Silver,Kati Wilhelm,Biathlon,Women 's 10 km pursuit
Silver,Sandra Prokoff Ulrike Holzner,Bobsleigh,Two-woman
Silver,Peter Schlickenrieder,Cross-country skiing,Men 's sprint
Silver,Evi Sachenbacher,Cross-country skiing,Women 's sprint
