Frequency,UHF,kW,Operator,System
599.25 MHz,37,126,Channel 5,PAL System I
735.25 MHz,54,500,Channel 4,PAL System I
746.166 MHz,55+,10,Digital 3 & 4 ( Mux 2 ),DVB-T
754.166 MHz,56+,10,Arqiva ( Mux C ),DVB-T
767.25 MHz,58,500,BBC One,PAL System I
778.166 MHz,59+,10,BBC ( Mux 1 ),DVB-T
791.25 MHz,61,500,ITV1 ( HTV West until 2002 ),PAL System I
802.166 MHz,62+,10,SDN ( Mux A ),DVB-T
815.25 MHz,64,500,BBC Two,PAL System I
826.166 MHz,65+,10,BBC ( Mux B ),DVB-T
842.000 MHz,67,10,Arqiva ( Mux D ),DVB-T
