Name,Age,Culture / association,Year discovered,Country
Luzia,11.5 ka,Paleo-Indian,1975,Brazil
Cerro Sota 2,11 ka,,1936,Chile
Satsurblia,10 ka,Caucasian Epipaleolithic ( CHG ),,Georgia
Kow Swamp 1,13-9 ka,,1968,Australia
Talgai Skull,10 ± 1 ka,,1886,Australia
La Brea Woman,10 ka,Paleo-Indian,1914,United States
Combe Capelle,9.6 ka ( 7600 BC ),European Mesolithic,1909,France
Cheddar Man,9 ka ( 7000 BC ),British Mesolithic,1903,UK
Kennewick Man,9 ka ( 7000 BC ),Archaic period ( North America ),1996,United States
Tepexpan man,8 ± 3 ka,Paleo-Indian,1947,Mexico
Loschbour man,8 ka ( 6000 BC ),European Mesolithic ( WHG ),1935,Luxembourg
Minnesota Woman,7.9 ± 0.1 ka,Paleo-Indian,1931,"Minnesota , United States"
Lothagam 4b ( Lo 4b ),7.5 ± 1.5 ka,,1965-1975,Kenya
Ötzi,5.3 ka ( 3300 BC ),European Neolithic,1991,"Ötztal Alps , Italy"
