Dance,Highest scored dancer ( s ),Highest score,Lowest scored dancer ( s ),Lowest score
Cha-cha-cha,Jennifer Grey,30,The Situation David Hasselhoff,15
Viennese Waltz,Jennifer Grey,30,Margaret Cho,15
Jive,Kyle Massey,29,Michael Bolton,12
Quickstep,Brandy Rick Fox Jennifer Grey,27,The Situation,18
Samba,Kyle Massey,29,Margaret Cho,18
Waltz,Jennifer Grey,30,Florence Henderson,20
Foxtrot,Brandy,28,Bristol Palin,19
Rumba,Jennifer Grey,30,Bristol Palin,14
Argentine tango,Brandy,30,The Situation,12
Tango,Jennifer Grey,27,Florence Henderson,21
Paso doble,Jennifer Grey,30,Kurt Warner,18
Freestyle,Jennifer Grey,30,Bristol Palin,25
