Club,Founded,Location,Ground,Competition
Gold Coast Suns Gold Coast Suns reserves,2008 2011,Carrara Carrara,Carrara Stadium Carrara Stadium,AFL NEAFL
Broadbeach Cats,1971,Mermaid Waters,H & A Oval,NEAFL
Labrador Tigers,1964,Labrador,Cooke-Murphy Oval,NEAFL
Southport Sharks,1961,Southport,Frankhauser Reserve,NEAFL
Burleigh Bombers,c. 1979,Burleigh Waters,Bill Godfrey Oval,QFA Div 1
Coolangatta,1962,Coolangatta,Len Peak Oval,QFA Div 2
Palm Beach Currumbin,1961,Palm Beach,Salk Oval,QAFL
Surfers Paradise Demons,1962,Benowa,Sir Bruce Small Park,QFAL
Robina Roos,1995,Robina,Scottsdale Drive,QFA Div 2
Carrara Saints,2012,Carrara,Alan Neilsen Oval,QFA Div 2
Coomera Magpies,2009,Coomera,Coomera Sports Park,QFA Div 2
Bond University Bullsharks,1987,Robina,Scottsdale Drive,QFA Div 2
