District,Name,Party
1A,George C. Edwards,Republican
1B,Kevin Kelly,Democratic
1C,"LeRoy E. Myers , Jr",Republican
2A,Robert A. McKee,Republican
2B,Christopher B. Shank,Republican
2C,John P. Donoghue,Democratic
3A,Galen R. Clagett,Democratic
3A,Patrick N. Hogan,Republican
3B,"Richard B. Weldon , Jr",Republican
4A,Joseph R. Bartlett,Republican
4A,Paul S. Stull,Republican
4B,Donald B. Elliott,Republican
5A,Tanya Thornton Shewell,Republican
5A,Nancy R. Stocksdale,Republican
5B,A . Wade Kach,Republican
6,John S. Arnick,Democratic
6,Joseph J. Minnick,Democratic
6,"Michael H. Weir , Jr",Democratic
7,Richard K. Impallaria,Republican
7,J . B. Jennings,Republican
