Date,Meeting,Category,Events,Venue,Country
23 February,Circuito Internacional de Marcha Chihuahua,C,20 km ( Men/Women ) 50 km ( Men ),Chihuahua City,Mexico
24 February,Oceania Race Walk Championships,C,20 km ( Men/Women ),Hobart,Australia
1 March,IAAF Race Walking Challenge Taicang,B,10 km ( Men/Women ),Taicang,China
10 March,Asian 20 km Race Walking Championships,B,20 km ( Men/Women ),Nomi,Japan
17 March,Lugano Trophy - Memorial Mario Albisetti,C,20 km ( Men/Women ),Lugano,Switzerland
6 April,Grande Prémio Internacional de Rio Maior em Marcha Atlética,B,20 km ( Men/Women ),Rio Maior,Portugal
6 April,African Race Walking Championships,B,20 km ( Men/Women ),Belle Vue Harel,Mauritius
13 April,Poděbrady Race Walking,B,20 km ( Men/Women ),Poděbrady,Czech Republic
1 May,Coppa Città di Sesto San Giovanni,B,20 km ( Men/Women ),Sesto San Giovanni,Italy
19 May,10th European Cup Race Walking,C,10 km ( Women ) 20 km ( Men ) 50 km ( Men ),Dudince,Slovakia
1 June,Gran Premio Cantones de La Coruña,B,10 km ( Men/Women ),A Coruña,Spain
29 June,Dublin Grand Prix of Race Walking,C,20 km ( Men/Women ),Dublin,Ireland
10-18 August,14th IAAF World Championships in Athletics,A,20 km ( Men/Women ) 50 km ( Men ),Moscow,Russia
